PHI:I9	PHI:19	In Vitro Growth	Heat sensitive
PHI:I10	PHI:22	Pre-penetration	See publication
PHI:I10	PHI:22	Penetration	See publication
PHI:I42	PHI:56	Sexual Spores	Sterile
PHI:I43	PHI:57	Pre-penetration	See publication
PHI:I43	PHI:57	Penetration	See publication
PHI:I70	PHI:82	Sexual Spores	No mature asci
PHI:I71	PHI:83	Sexual Spores	No perithecia formation
PHI:I123	PHI:142	Sexual Spores	Sterile
PHI:I123	PHI:142	Vegetative Spores	No conidia
PHI:I126	PHI:146	Vegetative Spores	Altered production of conidia
PHI:I141	PHI:164	Pre-penetration	No-the same as Wild type in planta, but reduced rate of appressoria formation in vitro
PHI:I148	PHI:170	Sexual Spores	Sterile
PHI:I180	PHI:200	In Vitro Growth	Arginine auxotroph
PHI:I184	PHI:203	In Vitro Growth	Different colony morphology
PHI:I185	PHI:203	In Vitro Growth	Different colony morphology
PHI:I192	PHI:210	In Vitro Growth	Unable to switch from budding to mycelial growth
PHI:I212	PHI:227	Sexual Spores	Sterile
PHI:I213	PHI:227	Sexual Spores	Sterile
PHI:I219	PHI:232	In Vitro Growth	Mating efficiency reduced
PHI:I226	PHI:241	Sexual Spores	Mating defective
PHI:I227	PHI:241	Sexual Spores	Mating defective
PHI:I230	PHI:244	In Vitro Growth	beige colonies
PHI:I231	PHI:245	Sexual Spores	Sterile
PHI:I236	PHI:251	Vegetative Spores	Reduced conidiation
PHI:I245	PHI:260	Sexual Spores	Unable to form mature teliospores
PHI:I246	PHI:261	In Vitro Growth	Unable to metabolise acetate and fatty acids
PHI:I248	PHI:263	Vegetative Spores	Reduced conidiation
PHI:I251	PHI:266	In Vitro Growth	Reduced on solid media
PHI:I251	PHI:266	Sexual Spores	Essential for female fertility and heterokaryon formation
PHI:I258	PHI:269	In Vitro Growth	Altered cell morphology
PHI:I260	PHI:271	In Vitro Growth	delayed
PHI:I268	PHI:278	In Vitro Growth	Reduced on pectin
PHI:I269	PHI:278	In Vitro Growth	Reduced on pectin
PHI:I270	PHI:278	In Vitro Growth	Reduced on pectin
PHI:I288	PHI:296	Vegetative Spores	deficient
PHI:I294	PHI:305	Spore Germination	Delayed
PHI:I298	PHI:309	Sexual Spores	Sterile
PHI:I329	PHI:334	Sexual Spores	Female Sterile
PHI:I329	PHI:334	Spore Germination	Conidia do not germinate
PHI:I336	PHI:341	Penetration	Yes: Non-functional appressoria
PHI:I345	PHI:353	Vegetative Spores	No sporulation
PHI:I395	PHI:406	Sexual Spores	Sterile
PHI:I399	PHI:411	In Vitro Growth	Mating, pheromone response and filamentation defects
PHI:I401	PHI:413	Vegetative Spores	No sporulation
PHI:I441	PHI:448	In Vitro Growth	Reduced by 20% on solid media, 30% in liquid culture
PHI:I441	PHI:448	Vegetative Spores	No sporulation
PHI:I479	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I480	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I481	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I482	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I483	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I484	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I485	PHI:483	Vegetative Spores	Reduced conidiation
PHI:I522	PHI:518	In Vitro Growth	Normal growth rate.
PHI:I553	PHI:549	In Vitro Growth	reduced on solid medium, not in liquid medium
PHI:I554	PHI:549	In Vitro Growth	reduced on solid medium, not in liquid medium
PHI:I587	PHI:574	Spore Germination	Wildtype
PHI:I588	PHI:576	In Vitro Growth	Reduced aerial hyphae
PHI:I589	PHI:576	In Vitro Growth	Reduced aerial hyphae
PHI:I590	PHI:576	In Vitro Growth	Reduced aerial hyphae
PHI:I591	PHI:577	In Vitro Growth	Wild-type
PHI:I592	PHI:578	In Vitro Growth	Wild-type
PHI:I762	PHI:731	Sexual Spores	No perithecia formation
PHI:I763	PHI:733	In Vitro Growth	Some impairment
PHI:I763	PHI:733	Sexual Spores	No perithecia formation
PHI:I853	PHI:861	In Vitro Growth	Slowed
PHI:I853	PHI:861	Spore Germination	Delayed
PHI:I854	PHI:861	Spore Germination	Delayed
PHI:I854	PHI:861	In Vitro Growth	Slowed
PHI:I998	PHI:1012	In Vitro Growth	Slightly affected
PHI:I999	PHI:1013	In Vitro Growth	Slightly affected
PHI:I1000	PHI:1014	In Vitro Growth	Slightly affected
PHI:I1001	PHI:1015	In Vitro Growth	75% of wild type
PHI:I1006	PHI:1021	In Vitro Growth	wt in liquid
PHI:I1006	PHI:1021	In Vitro Growth	reduced on plate
PHI:I1008	PHI:1023	Sexual Spores	Defective sclerotia formation
PHI:I1008	PHI:1023	In Vitro Growth	Slightly reduced
PHI:I1009	PHI:1023	In Vitro Growth	Slightly reduced
PHI:I1009	PHI:1023	Sexual Spores	Defective sclerotia formation
PHI:I1010	PHI:1024	In Vitro Growth	Slightly reduced
PHI:I1010	PHI:1024	Sexual Spores	Defective sclerotia formation
PHI:I1011	PHI:1025	Sexual Spores	Defective sclerotia formation
PHI:I1011	PHI:1025	In Vitro Growth	Slightly reduced
PHI:I1026	PHI:1031	Vegetative Spores	Blocked
PHI:I1027	PHI:1032	Spore Germination	Overelongated germ tube
PHI:I1027	PHI:1032	Vegetative Spores	Strongly imparied
PHI:I1028	PHI:1032	Vegetative Spores	Strongly imparied
PHI:I1028	PHI:1032	Spore Germination	Overelongated germ tube
PHI:I1029	PHI:1032	Vegetative Spores	Strongly imparied
PHI:I1029	PHI:1032	Spore Germination	Overelongated germ tube
PHI:I1030	PHI:1034	In Vitro Growth	WT
PHI:I1031	PHI:1035	In Vitro Growth	WT
PHI:I1032	PHI:1036	In Vitro Growth	Hyperbranching
PHI:I1033	PHI:1037	In Vitro Growth	Hyperbranching
PHI:I1034	PHI:1038	In Vitro Growth	WT
PHI:I1034	PHI:1038	Spore Germination	WT
PHI:I1035	PHI:1039	Spore Germination	WT
PHI:I1035	PHI:1039	In Vitro Growth	WT
PHI:I1036	PHI:1040	In Vitro Growth	reduced by up to 40%
PHI:I1037	PHI:1041	Spore Germination	blocked on plant host surface
PHI:I1038	PHI:1042	In Vitro Growth	Slowed
PHI:I1038	PHI:1042	Spore Germination	wildtype
PHI:I1039	PHI:1043	In Vitro Growth	altered hyphal morphology
PHI:I1044	PHI:1052	Vegetative Spores	Five times more conidia than wt produced in constant darkness
PHI:I1045	PHI:1054	Vegetative Spores	wildtype
PHI:I1046	PHI:1055	Vegetative Spores	wildtype
PHI:I1047	PHI:1056	Vegetative Spores	Altered morphology
PHI:I1047	PHI:1056	In Vitro Growth	Altered morphology
PHI:I1048	PHI:1057	Spore Germination	Delayed
PHI:I1049	PHI:1057	Spore Germination	Delayed
PHI:I1050	PHI:1058	Spore Germination	Impaired
PHI:I1050	PHI:1058	Vegetative Spores	reduced and abnormally shaped
PHI:I1051	PHI:1061	Spore Germination	delayed
PHI:I1051	PHI:1061	Vegetative Spores	more slender
PHI:I1052	PHI:1063	Vegetative Spores	more slender
PHI:I1053	PHI:1063	Vegetative Spores	more slender
PHI:I1054	PHI:1064	Spore Germination	affected
PHI:I1054	PHI:1064	Vegetative Spores	very poorly
PHI:I1057	PHI:1072	In Vitro Growth	altered hyphal morphology
PHI:I1057	PHI:1072	Penetration	does not go through stomata
PHI:I1057	PHI:1072	Pre-penetration	only yeast-like growth, no filament formation
PHI:I1058	PHI:1073	Pre-penetration	only yeast-like growth, no filament formation
PHI:I1058	PHI:1073	In Vitro Growth	altered hyphal morphology
PHI:I1058	PHI:1073	Penetration	does not go through stomata
PHI:I1059	PHI:1074	Pre-penetration	50% filamentous growth with aggregation
PHI:I1059	PHI:1074	In Vitro Growth	altered hyphal morphology
PHI:I1059	PHI:1074	Penetration	reduced stomatal invasion
PHI:I1060	PHI:1075	Penetration	wild-type
PHI:I1061	PHI:1076	Penetration	wild-type
PHI:I1062	PHI:1078	In Vitro Growth	Slightly reduced
PHI:I1062	PHI:1078	Vegetative Spores	Reduced, altered morphology
PHI:I1064	PHI:1080	In Vitro Growth	Slowed
PHI:I1064	PHI:1080	Sexual Spores	No forcible discharge
PHI:I1065	PHI:1080	Sexual Spores	No forcible discharge
PHI:I1065	PHI:1080	In Vitro Growth	Slowed
PHI:I1066	PHI:1082	Sexual Spores	Reduced on complex media, none on minimal media
PHI:I1066	PHI:1082	In Vitro Growth	Slightly reduced
PHI:I1070	PHI:1087	Sexual Spores	Perithecial initials only
PHI:I1071	PHI:1088	Sexual Spores	Few
PHI:I1074	PHI:1091	Sexual Spores	Few
PHI:I1077	PHI:1094	Sexual Spores	Perithecial initials only
PHI:I1078	PHI:1095	Sexual Spores	Perithecial initials only
PHI:I1082	PHI:1099	In Vitro Growth	Reduced on mannitol
PHI:I1083	PHI:1100	Vegetative Spores	Requires mannitol addition in vitro and in planta
PHI:I1083	PHI:1100	In Vitro Growth	Unable to grow on mannitol
PHI:I1090	PHI:1107	In Vitro Growth	Reduced aerial mycelium
PHI:I1091	PHI:1108	In Vitro Growth	Reduced aerial mycelium
PHI:I1093	PHI:1110	Mating Defect	Reduced tube formation
PHI:I1094	PHI:1111	Mating Defect	Reduced tube formation
PHI:I1095	PHI:1112	In Vitro Growth	Yeast like cells defective
PHI:I1095	PHI:1112	Mating Defect	Nearly no tube formation
PHI:I1096	PHI:1113	Mating Defect	Nearly no tube formation
PHI:I1096	PHI:1113	In Vitro Growth	Yeast like cells defective, defective hyphal growth
PHI:I1096	PHI:1113	Sexual Spores	
PHI:I1097	PHI:1114	In Vitro Growth	Yeast-like cells thick
PHI:I1098	PHI:1115	In Vitro Growth	Yeast-like cells slightly short
PHI:I1098	PHI:1115	Mating Defect	Reduced tube formation
PHI:I1099	PHI:1116	In Vitro Growth	Yeast like cells thick
PHI:I1099	PHI:1116	Mating Defect	Reduced tube formation
PHI:I1103	PHI:1124	In Vitro Growth	No sporulation
PHI:I1103	PHI:1124	Vegetative Spores	No sporulation
PHI:I1109	PHI:1134	Penetration	Enhanced penetration
PHI:I1110	PHI:1135	In Vitro Growth	Slow germination rate. Increased sporulation
PHI:I1123	PHI:1148	Spore Germination	Slightly reduced
PHI:I1154	PHI:1177	Spore Germination	abberrant
PHI:I1189	PHI:1212	Spore Germination	abberrant
PHI:I1978	PHI:2002	In Vitro Growth	Reduced on CM medium
PHI:I1980	PHI:2002	In Vitro Growth	Reduced on CM medium
PHI:I1992	PHI:2017	Spore Germination	wildtype
PHI:I2003	PHI:2025	Spore Germination	wildtype
PHI:I2004	PHI:2027	Spore Germination	wildtype
PHI:I2005	PHI:2028	Spore Germination	wildtype
PHI:I2006	PHI:2029	Spore Germination	wildtype
PHI:I2007	PHI:2030	Spore Germination	wildtype
PHI:I2008	PHI:2031	Spore Germination	wildtype
PHI:I2009	PHI:2030	Spore Germination	wildtype
PHI:I2010	PHI:2032	Spore Germination	wildtype
PHI:I2017	PHI:2036	Spore Germination	enhanced
PHI:I2017	PHI:2036	In Vitro Growth	enhanced
PHI:I2017	PHI:2036	Vegetative Spores	enhanced
PHI:I2018	PHI:2037	Spore Germination	wildtype
PHI:I2018	PHI:2037	In Vitro Growth	enhanced
PHI:I2019	PHI:2037	In Vitro Growth	enhanced
