PHI:I5	PHI:16
PHI:I367	PHI:2323
PHI:I396	PHI:2357
PHI:I454	PHI:2389
PHI:I456	PHI:2390
PHI:I458	PHI:2391
PHI:I460	PHI:2392
PHI:I466	PHI:2397
PHI:I467	PHI:2398
PHI:I474	PHI:2401
PHI:I475	PHI:2401
PHI:I476	PHI:2401
PHI:I478	PHI:2403
PHI:I479	PHI:2403
PHI:I524	PHI:2443
PHI:I525	PHI:2444
PHI:I529	PHI:2449
PHI:I588	PHI:2492
PHI:I749	PHI:2688
PHI:I754	PHI:2693
PHI:I1071	PHI:2749
PHI:I1072	PHI:2749
PHI:I1079	PHI:2806
PHI:I1080	PHI:2806
PHI:I1081	PHI:2807
PHI:I1082	PHI:2807
PHI:I1086	PHI:2811
PHI:I1087	PHI:2812
PHI:I1088	PHI:2813
PHI:I1089	PHI:2814
PHI:I1090	PHI:2815
PHI:I1101	PHI:2822
PHI:I1110	PHI:2833
PHI:I1129	PHI:2840
PHI:I1130	PHI:2841
PHI:I1131	PHI:2843
PHI:I1132	PHI:2840
PHI:I1133	PHI:2841
PHI:I1206	PHI:2904
PHI:I1207	PHI:2905
PHI:I1208	PHI:2904
PHI:I1209	PHI:2904
PHI:I1220	PHI:2910
PHI:I1221	PHI:2910
PHI:I1222	PHI:2910
PHI:I1223	PHI:2910
PHI:I1224	PHI:2911
PHI:I1284	PHI:2973
