altered gene expression / gene regulation	ESO:0000024
altered gene expression / gene regulation; complementation	ESO:0000024;ESO:0000007
altered gene expression / gene regulation: down- and upregulation	ESO:0000012;ESO:0000011
altered gene expression / gene regulation: downregulation	ESO:0000012
altered gene expression / gene regulation: overexpression	ESO:0000011
altered gene expression / gene regulation: silencing	ESO:0000013
biochemical analysis	ESO:0000005
biochemical analysis; mutation: characterised	ESO:0000005;ESO:0000016
biochemical analysis; mutation: characterised; complementation	ESO:0000005;ESO:0000016;ESO:0000007
complementation	ESO:0000007
functional test in host	ESO:0000006
functional test in host: direct injection	ESO:0000014
functional test in host: transient expression	ESO:0000015
gene deletion	ESO:0000002
gene deletion; biochemical analysis	ESO:0000002;ESO:0000005
gene deletion; complementation	ESO:0000002;ESO:0000007
gene disruption	ESO:0000001
gene disruption; altered gene expression / gene regulation: overexpression	ESO:0000001;ESO:0000011
gene disruption; altered gene expression / gene regulation: overexpression; complementation	ESO:0000001;ESO:0000011;ESO:0000007
gene disruption; complementation	ESO:0000001;ESO:0000007
gene disruption; complementation; other evidence	ESO:0000001;ESO:0000007;ESO:0000010
gene disruption; gene deletion	ESO:0000001;ESO:0000002
gene disruption; gene deletion; complementation	ESO:0000001;ESO:0000002;ESO:0000007
gene disruption; gene mutation: characterised	ESO:0000001;ESO:0000016
mutation	ESO:0000019
mutation: characterised	ESO:0000016
mutation: characterised; complementation	ESO:0000016;ESO:0000007
other evidence	ESO:0000010
sequence analysis of sensitive and resistant strains	ESO:0000017
