Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 4397	PHI:3167	Uniprot	P81702	Genbank	AGQ22233	CBS115175	Cerato-platanin	no data found	no data found	no data found	no data found	no data found	no	5158	Ceratocystis fimbriata f. sp. Platani	no data found	 AF 100	canker stain disease	Eudicots	4097	Nicotiana tabacum (related: Common tobacco)	no data found	no data found	no data found	leaf	phytotoxic protein	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	necrosis	Functional test in host: direct injection	no data found		RP	10455173	Pubmed	10.1074/jbc.274.35.24959	no data found
Record 4398	PHI:3168	Uniprot	J9N5P9	Broad	FOXG_10510	4287	SGE1	no data found	no data found	no data found	no data found	no data found	no	59765	Fusarium oxysporum f. sp. lycopersici	426428	4287	Fusarium wilt	Eudicots	4081	Solanum lycopersicum (related: Tomato)	Moneymaker ss590	no data found	no data found	leaf	Transcriptional regulators involved in morphological switching in dimorphic fungal pathogens.	no data found	no data found	no data found	reduced virulence	no data found	no	no	yes	no data found	reduced	no data found	no data found	no data found	no data found	no data found	nucleus	no data found	no data found	no data found	Gene deletion: full; Gene complementation	no data found		RP	19851506	Pubmed	10.1371/journal.ppat.1000637	Fusarium oxysporum f. sp. lycopersici exerts biocontrolactivity on flax when added in a 100-fold excess relative to a F.oxysporum strain pathogenic towards flax.
Record 4399	PHI:3169	Uniprot	Q8YC53	Genbank	LOVHK_BRUME	16M	BM-LOV-HK	no data found	no data found	no data found	no data found	no data found	no	29459	Βrucella melitensis	224914	16M	Brucellosis	Rodents	10090	Mus musculus (related: House mouse)	C57BL/6	no data found	no data found	spleen	light sensing histidine kinase	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	2 logs fewer CFUs	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	no data found		RP	25132657	Pubmed	10.1111/2049-632X.12209	no data found
Record 4400	PHI:3169	Uniprot	Q8YC53	Genbank	LOVHK_BRUME	16M	BM-LOV-HK	no data found	no data found	no data found	no data found	no data found	no	29459	Βrucella melitensis	224914	16M	Brucellosis	Rodents	10090	Mus musculus (related: House mouse)	IRF-1 -/-	no data found	no data found	spleen	light sensing histidine kinase	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	significantly increased survival	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	no data found		RP	25132657	Pubmed	10.1111/2049-632X.12209	no data found
Record 4401	PHI:3164	Uniprot	R9UM22	Genbank	AGN70889	NBAII Tvs5	Sm1	no data found	no data found	no data found	no data found	no data found	no	29875	Trichoderma virens	413071	Gv29-8	Suppresses soilborne plant diseases caused by a number of fungi	Monocots	4530	Oryza sativa (related: Rice)	M-202	no data found	no data found	roots	hydrophobinlike elicitor	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	resistance	The presence of the gene sm1 from Trichoderma virens (root nodules) confers resistance against Colletotrichum sp. infections.	Functional test in host: dipping	no data found		RP	17885089	Pubmed	10.1104/pp.107.103689	no data found
Record 4402	PHI:3164	Uniprot	R9UM22	Genbank	AGN70889	NBAII Tvs5	Sm1	no data found	no data found	no data found	no data found	no data found	no	29875	Trichoderma virens	413071	Gv29-8	Suppresses soilborne plant diseases caused by a number of fungi	Eudicots	3635	Gossypium hirsutum (related: Upland cotton)	Paymaster 2326 BG/RR; Deltapine-50	no data found	no data found	roots	hydrophobinlike elicitor	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	resistance	The presence of the gene sm1 from Trichoderma virens (root nodules) confers resistance against Colletotrichum sp. infections.	Functional test in host: dipping	no data found		RP	17885089	Pubmed	10.1104/pp.107.103689	no data found
Record 4403	PHI:3165	Uniprot	Q9I322	Genbank	AE004597_1	PAO1	exsE	no data found	no data found	no data found	no data found	no data found	PHI:3166	287	Pseudomonas aeruginosa	208964	PAO1	nosocomial infections	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	N2	no data found	no data found	gastrointestinal tract	type III secretion (T3S) system	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	The mutants reduced in virulence were chosen by C. Elegans for feeding over the mutants with wild type pathogenticity.	Functional test in host: feeding	no data found		RP	25165631	Pubmed	10.7717/peerj.521	no data found
Record 4404	PHI:3166	Uniprot	B7VBG2	Genbank	CAW28339	LESB58	pscD	no data found	no data found	no data found	no data found	no data found	PHI:3165	287	Pseudomonas aeruginosa	208964	PAO1	nosocomial infections	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	N2	no data found	no data found	gastrointestinal tract	type III secretion (T3S) system	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	The mutants reduced in virulence were chosen by C. Elegans for feeding over the mutants with wild type pathogenticity.	Functional test in host: feeding	no data found		RP	25165631	Pubmed	10.7717/peerj.521	no data found
Record 4405	PHI:3167	Uniprot	P20582	Genbank	AAG04388	PAO1	pqsD 	no data found	no data found	no data found	no data found	no data found	no	287	Pseudomonas aeruginosa	208964	PAO1	nosocomial infections	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	N2	no data found	no data found	gastrointestinal tract	Required for the synthesis of the Pseudomonas quinolone signal, a quorum sensing signal molecule that contributes to slow killing and the red death phenotype in C. Elegans.	no data found	no data found	PQS biosynthesis pathway	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	The mutants reduced in virulence were chosen by C. Elegans for feeding over the mutants with wild type pathogenticity.	Functional test in host: feeding	no data found		RP	25165631	Pubmed	10.7717/peerj.521	no data found
Record 4406	PHI:3168	Uniprot	B4E5A2	Genbank	CAR50527	J2315	paaA	no data found	no data found	no data found	no data found	no data found	PHI:3169; PHI:3170, PHI:3171; PHI:3172	95486	Burkholderia cenocepacia	985075	K56-2	cystic fibrosis-like conditions	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	DH26	no data found	no data found	gastrointestinal tract	phenylacetic acid catabolism	no data found	no data found	phenylacetic acid degradation pathway	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	no data found		RP	25155974	Pubmed	10.1111/mmi.12771	Deletion of gene cluster paaABCDE causes PAA-defective growth.
