NAR  Supplementary Table S1 								
PHI-base Version 3.6 contents  								
TOTAL -  160 species  (those in bold text are also found in the PhytoPath ENSEMBL genomes database) 							1 - USDA Fungal database (http://nt.ars-grin.gov/fungaldatabases)	
							2 - Plantwise Knowledge Bank (http://www.plantwise.org/KnowledgeBank)	
Taxonomy / NCBI identifier	Pathogen species name(s)	Host species type(s) in PHI-base	Lifestyle  Abbr: HST - Host selective toxin (metabolite),  PHST - proteinaceous host selective toxin	Obligate biotroph	Host species types (natural)	No of plant hosts; Vast  - well over 100 host species, Many -  up to 100 host species, A few - up to 20 host species, One - a single host species  [Information taken from USDA Fungal database and Plantwise Knowledge Bank)	No of different host interactions recorded in the the USDA Fungal database	No of different host interactions recorded in the the Plantwise Knowledge Bank
Prokaryotes (55)								
Plant infecting pathogens (27)								
358	Agrobacterium tumefaciens	Dicot	Biotroph		Dicot	Many	47	none
373	Agrobacterium vitis	Dicot	Biotroph		Dicot	One	none	none
337	Burkholderia glumae	Monocot	Necrotroph		Cereal Monocot	A few 	none	2
552	Erwinia amylovora	Dicot 	Necrotroph		Dicot - trees 	Many	10	28
66271	Pantoea stewartii subsp. stewartii	Monocot	Necrotroph		Cereal Monocot	A few 	none	16
29471	Pectobacterium atrosepticum	Dicot	Necrotroph		Dicots - Cereal Monocot - Non Cereal Monocot 	Many	none	37
554	Pectobacterium carotovorum	Dicot	Necrotroph		Dicot - Non Cereal Monocot	Many	none	73
55208	Pectobacterium wasabiae	Dicot	Necrotroph		Dicot	A few 	none	none
36746	Pseudomonas cichorii 	Dicot	Hemibiotroph		Dicot	Many	2	73
360920	Pseudomonas savastanoi pv. savastanoi	Dicot	Hemibiotroph		Dicot - Dicot Trees	A few 	none	6
317	Pseudomonas syringae 	Dicot	Hemibiotroph		Dicots - Cereal Monocot - Non Cereal Monocot 	Many	28	61
321	Pseudomonas syringae pv. syringae	Dicot	Hemibiotroph		Dicot	A few	1	20
322	Pseudomonas syringae pv. tabaci	Dicot	Hemibiotroph		Dicot	A few 	none	20
323	Pseudomonas syringae pv. tomato	Dicot	Hemibiotroph		Dicot	A few	none	3
305	Ralstonia solanacearum	Dicot 			Dicot - Non Cereal Monocot	Many 	4	49
1930	Streptomyces scabies	Dicot	Necrotroph		Diciot	A few	19	7
85558	Streptomyces turgidiscabies	Dicot	Necrotroph		Dicot	A few	none	none
346	Xanthomonas axonopodis pv. citri	Dicot	Hemibiotroph		Dicot - Dicot Trees	A few	none	none
43353	Xanthomonas axonopodis pv. manihotis 	Dicot	Hemibiotroph		Dicot	A few	none	2
339	Xanthomonas campestris	Dicot	Hemibiotroph		Dicot	Many 	6	multiple
340	Xanthomonas campestris pv. campestris	Dicot	Hemibiotroph		Dicot	Many	3	25
456327	Xanthomonas campestris pv. vesicatoria	Dicot	Hemibiotroph		Dicot	A few	2	none
611301	Xanthomonas citri ssp. citri	Dicot	Hemibiotroph		Dicot - Dicot Trees	A few	none	none
129394	Xanthomonas oryzae  pv. oryzicola	Monocot	Hemibiotroph		Cereal Monocot	A few 	none	4
64187	Xanthomonas oryzae pv. oryzae	Monocot	Hemibiotroph		Cereal Monocot	A few	none	18
134874	Xanthomonas translucens pv. graminis	Dicot	Hemibiotroph		Cereal Monocot	A few 	none	none
183190	Xylella fastidiosa	Dicot			Dicot and Cereal Monocot	Many	9	49
								
Animal infecting pathogens (28)						No information available on number of animal hosts.		
470	Acinetobacter baumannii	Animal  / Insect				from USDA Fungal database or Plantwise Knowledge Bank.		
1396	Bacillus cereus	Insect / Nematode / Animal / Fish / Dicot						
518	Bordetella bronchiseptica	Animal						
139	Borrelia burgdorferi	Animal						
197	Campylobacter jejuni	Bird						
1496	Clostridium difficile	Animal						
67780	Edwardsiella ictaluri	Fish						
498217	Edwardsiella tarda	Fish						
