ID	Name	Organisation
MU	Martin Urban	Rothamsted Research
TKB	Thomas Baldwin	
SH	Sabrina Holland	
JVK	Jan van Kan	
AB	Andrew Beacham	
KHK	Kim Hammond-Kosack	Rothamsted Research
RK	Roland Krause	
SK	Sophien Kamoun	
AI	Alexander Idnurm	
DS	Darren Soanes	
AS	Ane Sesma	
BH	Barbara Howlett	
JR	Jason Rudd	
HH	Hilde Hansen	
JA	John Antoniw	
KM	Kerry Maguire	
SD	Sian Deller	
JK	John Keon	
ML	Magdalen Lindeberg	
HJ	Helen Jenkins	Rothamsted Research
MHK	Michael Hammond-Kosack	Rothamsted Research
NB	Neil Brown	
ND	Noemie Desmenceux	
AC	Alayne Cuzick	Rothamsted Research
RP	Rashmi Pant	Molecular Connections
AR	Arathi Raghunath	Molecular Connections
RO	Richard Oliver	
HJC	Hans Cools	
PR	Pam Ronald	
DG	Donald Gardiner	
BO	Birgit Oeser	
RM	Ros Marshall	
AGI	Alistair Irvine	Rothamsted Research
MC	Molecular Connections	Molecular Connections
