Pathogen Taxonomy NCBI Identifier	Pathogen Lifestyle	Host Kingdom	Natural Host Type	No of plant hosts	No of host interactions USDA Fungal database	No of host interactions Plantwise Knowledge Bank
358	Biotroph	plant	Dicot	Many	47	none
373	Biotroph	plant	Dicot	One	none	none
337	Necrotroph	plant	Cereal Monocot	A few 	none	2
552	Necrotroph	plant	Dicot - trees 	Many	10	28
66271	Necrotroph	plant	Cereal Monocot	A few 	none	16
29471	Necrotroph	plant	Dicots - Cereal Monocot - Non Cereal Monocot 	Many	none	37
554	Necrotroph	plant	Dicot - Non Cereal Monocot	Many	none	73
55208	Necrotroph	plant	Dicot	A few 	none	none
36746	Hemibiotroph	plant	Dicot	Many	2	73
360920	Hemibiotroph	plant	Dicot - Dicot Trees	A few 	none	6
317	Hemibiotroph	plant	Dicots - Cereal Monocot - Non Cereal Monocot 	Many	28	61
321	Hemibiotroph	plant	Dicot	A few	1	20
322	Hemibiotroph	plant	Dicot	A few 	none	20
323	Hemibiotroph	plant	Dicot	A few	none	3
305		plant	Dicot - Non Cereal Monocot	Many 	4	49
1930	Necrotroph	plant	Diciot	A few	19	7
85558	Necrotroph	plant	Dicot	A few	none	none
346	Hemibiotroph	plant	Dicot - Dicot Trees	A few	none	none
43353	Hemibiotroph	plant	Dicot	A few	none	2
339	Hemibiotroph	plant	Dicot	Many 	6	multiple
340	Hemibiotroph	plant	Dicot	Many	3	25
456327	Hemibiotroph	plant	Dicot	A few	2	none
611301	Hemibiotroph	plant	Dicot - Dicot Trees	A few	none	none
129394	Hemibiotroph	plant	Cereal Monocot	A few 	none	4
64187	Hemibiotroph	plant	Cereal Monocot	A few	none	18
134874	Hemibiotroph	plant	Cereal Monocot	A few 	none	none
183190		plant	Dicot and Cereal Monocot	Many	9	49
470		animal				
1396		animal				
518		animal				
139		animal				
197		animal				
1496		animal				
67780		animal				
498217		animal				
1351		animal				
562		animal				
96345		animal				
263		animal				
573		animal				
1639		animal				
1773		animal				
287		animal				
90371		animal				
149539		animal				
42897		animal				
1280		animal				
1311		animal				
1313		animal				
1314		animal				
1306		animal				
1307		animal				
666		animal				
992166		animal				
633		animal				
5599	Necrotroph	plant	Cereal Monocot - Non Cereal Monocot  - Dicot 	Vast 	905	
29001	Necrotroph	plant	Dicot	Many	73	
135859	Necrotroph	plant	Dicot	Many	48	
160389	Necrotroph	plant	Dicot 	Many	22	
5059	Necrotroph	plant	Cereal Monocot  - Non Cereal Monocot - Dicot 	Vast	136	
62688	Obligate Biotroph 	plant	Cereal Monocot	One	1	
62690	Obligate Biotroph 	plant	Cereal Monocot	One	1	
40559	Hemibiotroph -necrotroph	plant	Cereal Monocot - Non Cereal Monocot  - Dicot 	Vast	1367	
278938	Hemibiotroph -necrotroph	plant	Non Cereal Monocot	Many	37	
84275	Necrotroph -HST	plant	Dicot	A few	14	
29003	Necrotroph -HST	plant	Dicot	A few	6	
135779	Necrotroph -HST	plant	Cereal Monocot	A few	4	
5499	Biotroph 	plant	Dicot	Many	34	
5111	Biotroph 	plant	Cereal Monocot	Vast	515	
5017	Necrotroph -HST	plant	Cereal Monocot	Many	40	
5016	Necrotroph -HST	plant	Cereal Monocot   and Dicot	Many	101	
101162	Necrotroph 	plant	Cereal Monocot   and Dicot	Many	33	
45130	Hemibiotroph 	plant	Cereal Monocot  	Vast	374	
40125	Necrotroph -HST	plant	Cereal Monocot   and Dicot	Many	40	
27357	Hemibiotroph -necrotroph	plant	Dicot - Dicot Trees 	Vast 	178	
27358	Hemibiotroph -necrotroph	plant	Dicot and Cereal Monocot	Many	59	
5457	Hemibiotroph -necrotroph	plant	Non Cereal Monocot - Dicot (D)	Vast	1911	
