"
1,10-phenanthrolinedisulfonic acid, 4,7-diphenyl-, sodium salt (1:2) (bps)
1,16-hexadecanediol
1,16-hexadecanediol(diol)
1,2-dioctanoylglycerol
1,4-dithiothreitol (dtt)	CHEBI:18320	1,4-dithiothreitol
16-hexadecanediol
1-methyl-3-isobutylxanthine
1-octacosanol (c28)
1-triacontanol (c30)
2,2 ′-dipyridyl
2,3,5-triiodobenzoic acid	CHEBI:73175	2,3,5-triiodobenzoic acid
2-chloro-5-hydroxypyridine
2-propenoic acid, 3-phenyl-, (2e)-
3-amino-1,2,4 triazole	CHEBI:38597	triazole
3-isobutyl-1-methylxanthine	CHEBI:48518	3-isobutyl-1-methylxanthine
4-hydroxybenzoic acid	CHEBI:30763	4-hydroxybenzoic acid
4-nitroquinoline 1-oxidase
7-diethylamino-4-methylcoumarin
7-diethylamino-4-methylcoumarin (cfw)
8-((4-chlorophenyl)thio)cyclic-3',5'-amp
8-br-camp
acetate	CHEBI:30089	acetate
acetovanillone
actinomycin d	CHEBI:27666	actinomycin D
adenine	CHEBI:16708	adenine
aluminium, ion (al3+)
aminolevulinic acid	CHEBI:17549	5-aminolevulinic acid
ammonium nitrate	CHEBI:63038	ammonium nitrate
amphotericin b	CHEBI:2682	amphotericin B
ampicillin	CHEBI:28971	ampicillin
apocynin (hydroxy-3-methoxyacetophenone)	CHEBI:2781	apocynin
arabinose	CHEBI:22599	arabinose
ascorbic acid	CHEBI:63395	ascorbic acid derivative
atropine	CHEBI:16684	atropine
avocado surface wax
azoxystrobin	CHEBI:40909	azoxystrobin
bacitracin	CHEBI:28669	bacitracin
bathophenanthroline-disulfonate
bathophenanthroline disulfonic acid
bathophenanthroline disulphonic acid
beeswax
bee wax
benomyl	CHEBI:3015	benomyl
benzimidazole	CHEBI:36622	benzimidazole
benznidazole
beta-alanine, n-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-, ion(1-), (r)-
bleomycin	CHEBI:34582	bleomycin sulfate
bovine serum albumin
brefeldin a	CHEBI:48080	brefeldin A
butyl alcohol
ca+
cacl2
cadmium chloride, hydrate
cadmium chloride, monohydrate
cadmium, ion (cd2+)
caffeine	CHEBI:27732	caffeine
calcium	CHEBI:22984	calcium atom
calcium cation
calcium chloride
calcium chloride anhydrous
calcofluor	CHEBI:50011	Calcofluor White
calcofluor white	CHEBI:50011	Calcofluor White
calcofluor white (cw)	CHEBI:50011	Calcofluor White
calcoﬂuor white
camp
camptothecin	CHEBI:27656	camptothecin
caproic acid	CHEBI:30776	caproic acid
carbendazim	CHEBI:3392	carbendazim
carbenicillin	CHEBI:3393	carbenicillin
caspofungin	CHEBI:474180	caspofungin
catechol	CHEBI:18135	catechol
cellulase
cercosporamide	CHEBI:78696	cercosporamide
cercosporin	CHEBI:3556	Cercosporin
chloramphenicol	CHEBI:17698	chloramphenicol
chlorates
