1,2-diacylglycerol	CHEBI:52643	1,2-diacylglycerol 3-diphosphate
1,4-dithiothreitol (dtt)	CHEBI:18320	1,4-dithiothreitol
2,3,5-triiodobenzoic acid	CHEBI:73175	2,3,5-triiodobenzoic acid
2,3,5-triiodobenzoic acid (tiba)	CHEBI:73175	2,3,5-triiodobenzoic acid
2,6-dichloroisonicotinic acid (ina)	CHEBI:73179	2,6-dichloroisonicotinic acid
3-amino-1,2,4 triazole	CHEBI:38597	triazole
3-isobutyl-1-methylxanthine	CHEBI:48518	3-isobutyl-1-methylxanthine
4-hydroxybenzoic acid	CHEBI:30763	4-hydroxybenzoic acid
acetate	CHEBI:30089	acetate
actinomycin d	CHEBI:27666	actinomycin D
adenine	CHEBI:16708	adenine
aminolevulinic acid	CHEBI:17549	5-aminolevulinic acid
ammonium nitrate	CHEBI:63038	ammonium nitrate
amphotericin b	CHEBI:2682	amphotericin B
amphotericin b	CHEBI:2682	amphotericin B
ampicillin	CHEBI:28971	ampicillin
ampicillin	CHEBI:28971	ampicillin
apc 366	CHEBI:80551	APC
apocynin (hydroxy-3-methoxyacetophenone)	CHEBI:2781	apocynin
arabinose	CHEBI:22599	arabinose
arginine	CHEBI:29016	arginine
ascorbate	CHEBI:38290	L-ascorbate
ascorbic acid	CHEBI:63395	ascorbic acid derivative
atropine	CHEBI:16684	atropine
azoxystrobin	CHEBI:40909	azoxystrobin
bacitracin	CHEBI:28669	bacitracin
bacitracin	CHEBI:28669	bacitracin
benomyl	CHEBI:3015	benomyl
benomyl	CHEBI:3015	benomyl
benzimidazole	CHEBI:36622	benzimidazole
bleomycin	CHEBI:34582	bleomycin sulfate
brefeldin a	CHEBI:48080	brefeldin A
caffeine	CHEBI:27732	caffeine
caffeine	CHEBI:27732	caffeine
calcium	CHEBI:22984	calcium atom
calcofluor	CHEBI:50011	Calcofluor White
calcofluor white	CHEBI:50011	Calcofluor White
calcofluor white	CHEBI:50011	Calcofluor White
calcofluor white (cw)	CHEBI:50011	Calcofluor White
camptothecin	CHEBI:27656	camptothecin
caproic acid	CHEBI:30776	caproic acid
carbendazim	CHEBI:3392	carbendazim
carbendazim	CHEBI:3392	carbendazim
carbenicillin	CHEBI:3393	carbenicillin
caspofungin	CHEBI:474180	caspofungin
caspofungin	CHEBI:474180	caspofungin
catechol	CHEBI:18135	catechol
cefotaxime	CHEBI:204928	cefotaxime
cercosporamide	CHEBI:78696	cercosporamide
cercosporin	CHEBI:3556	Cercosporin
chloramphenicol	CHEBI:17698	chloramphenicol
chlorpromazine	CHEBI:3647	chlorpromazine
cholera toxin	CHEBI:27026	toxin
ciprofloxacin	CHEBI:100241	ciprofloxacin
cobalt	CHEBI:27638	cobalt atom
colistin	CHEBI:37943	colistin
congo red	CHEBI:34653	Congo Red
congo red	CHEBI:34653	Congo Red
congo red	CHEBI:34653	Congo Red
congo red (cr)	CHEBI:34653	Congo Red
copper	CHEBI:28694	copper atom
copper sulphate	CHEBI:121741	copper sulphate(5.H2O)
