CHEBI:18320	1,4-dithiothreitol (dtt)	1,4-dithiothreitol
CHEBI:73175	2,3,5-triiodobenzoic acid	2,3,5-triiodobenzoic acid
CHEBI:38597	3-amino-1,2,4 triazole	triazole
CHEBI:48518	3-isobutyl-1-methylxanthine	3-isobutyl-1-methylxanthine
CHEBI:30763	4-hydroxybenzoic acid	4-hydroxybenzoic acid
CHEBI:30089	acetate	acetate
CHEBI:27666	actinomycin d	actinomycin D
CHEBI:16708	adenine	adenine
CHEBI:17549	aminolevulinic acid	5-aminolevulinic acid
CHEBI:63038	ammonium nitrate	ammonium nitrate
CHEBI:2682	amphotericin b	amphotericin B
CHEBI:28971	ampicillin	ampicillin
CHEBI:2781	apocynin (hydroxy-3-methoxyacetophenone)	apocynin
CHEBI:22599	arabinose	arabinose
CHEBI:63395	ascorbic acid	ascorbic acid derivative
CHEBI:16684	atropine	atropine
CHEBI:40909	azoxystrobin	azoxystrobin
CHEBI:28669	bacitracin	bacitracin
CHEBI:3015	benomyl	benomyl
CHEBI:36622	benzimidazole	benzimidazole
CHEBI:34582	bleomycin	bleomycin sulfate
CHEBI:48080	brefeldin a	brefeldin A
CHEBI:27732	caffeine	caffeine
CHEBI:22984	calcium	calcium atom
CHEBI:50011	calcofluor	Calcofluor White
CHEBI:50011	calcofluor white	Calcofluor White
CHEBI:50011	calcofluor white (cw)	Calcofluor White
CHEBI:27656	camptothecin	camptothecin
CHEBI:30776	caproic acid	caproic acid
CHEBI:3392	carbendazim	carbendazim
CHEBI:3393	carbenicillin	carbenicillin
CHEBI:474180	caspofungin	caspofungin
CHEBI:18135	catechol	catechol
CHEBI:78696	cercosporamide	cercosporamide
CHEBI:3556	cercosporin	Cercosporin
CHEBI:17698	chloramphenicol	chloramphenicol
CHEBI:3647	chlorpromazine	chlorpromazine
CHEBI:27026	cholera toxin	toxin
CHEBI:100241	ciprofloxacin	ciprofloxacin
CHEBI:27638	cobalt	cobalt atom
CHEBI:34653	congo red	Congo Red
CHEBI:34653	congo red (cr)	Congo Red
CHEBI:28694	copper	copper atom
CHEBI:121741	copper sulphate	copper sulphate(5.H2O)
CHEBI:83101	coprogen	coprogen
CHEBI:78673	cumene hydroperoxide	cumene hydroperoxide
CHEBI:16335	cyclic adenosine 3',5'-cyclophosphate	adenosine
CHEBI:60879	cyclic amp	2',3'-cyclic AMP(1-)
CHEBI:27641	cycloheximide	cycloheximide
CHEBI:81760	difenoconazole	difenoconazole
CHEBI:81913	diniconazole	diniconazole
CHEBI:50317	di-phenylene iodonium (dpi)	iodonium
CHEBI:4762	eflornithine	Eflornithine hydrochloride
CHEBI:4811	epoxiconazole	epoxiconazole
CHEBI:42355	erythromycin	erythromycin A
CHEBI:16236	ethanol	ethanol
CHEBI:25224	ethyl methanesulfonate	methanesulfonate
CHEBI:28600	farnesol	farnesol
CHEBI:81853	fenhexamid	fenhexamid
CHEBI:81917	fenpropidin	fenpropidin
CHEBI:31605	ferric citrate	Ferric citrate (59 Fe)
CHEBI:5019	ferrichrome	ferrichrome
CHEBI:64492	ferricrocin	ferricrocin
CHEBI:17620	ferulic acid	ferulic acid
CHEBI:46081	fluconazole	fluconazole
CHEBI:81763	fludioxonil	fludioxonil
CHEBI:81763	fludioxonil [flu]	fludioxonil
CHEBI:83708	flutriafol	(R)-flutriafol
CHEBI:28260	galactose	galactose
CHEBI:17234	glucose	glucose
