
UniProt accession:I1RAE5
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0004672	protein kinase activity	IEA	
GO:0004674	protein serine/threonine kinase activity	IEA	
GO:0005524	ATP binding	IEA	
GO:0016301	kinase activity	IEA	
GO:0016740	transferase activity	IEA	
GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	

UniProt accession:P74849
GO ID	Go Term	GO Evidence Code
GO:0003779	actin binding	IEA	

UniProt accession:G4MXJ4
GO ID	Go Term	GO Evidence Code
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	IEA	
GO:0016491	oxidoreductase activity	IEA	
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	IEA	

UniProt accession:Q4ZM64
GO ID	Go Term	GO Evidence Code
GO:0003677	DNA binding	IEA	
GO:0003700	sequence-specific DNA binding transcription factor activity	IEA	
GO:0016987	sigma factor activity	IEA	

UniProt accession:G4XVB6
GO ID	Go Term	GO Evidence Code
GO:0004100	chitin synthase activity	IEA	
GO:0016758	transferase activity, transferring hexosyl groups	IEA	

UniProt accession:Q9HEP9
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0001664	G-protein coupled receptor binding	IEA	
GO:0003924	GTPase activity	IEA	
GO:0004871	signal transducer activity	IEA	
GO:0005525	GTP binding	IEA	
GO:0019001	guanyl nucleotide binding	IEA	
GO:0031683	G-protein beta/gamma-subunit complex binding	IEA	

UniProt accession:Q9C1C2
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0008603	cAMP-dependent protein kinase regulator activity	IEA	
GO:0030552	cAMP binding	IEA	

UniProt accession:O42830
GO ID	Go Term	GO Evidence Code
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	IEA	
GO:0030248	cellulose binding	IEA	

UniProt accession:Q9P872
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0005388	calcium-transporting ATPase activity	IEA	
GO:0005524	ATP binding	IEA	
GO:0016787	hydrolase activity	IEA	
GO:0046872	metal ion binding	IEA	

UniProt accession:Q9HWS1
GO ID	Go Term	GO Evidence Code
GO:0005509	calcium ion binding	IEA	

UniProt accession:P63786
GO ID	Go Term	GO Evidence Code
GO:0004252	serine-type endopeptidase activity	IEA	
GO:0008233	peptidase activity	IEA	
GO:0008236	serine-type peptidase activity	IEA	
GO:0016787	hydrolase activity	IEA	
GO:0042802	identical protein binding	IPI	

UniProt accession:P43094
GO ID	Go Term	GO Evidence Code
GO:0004190	aspartic-type endopeptidase activity	IEA	
GO:0004190	aspartic-type endopeptidase activity	IDA	
GO:0008233	peptidase activity	IEA	
GO:0016787	hydrolase activity	IEA	

UniProt accession:G4MRA3
GO ID	Go Term	GO Evidence Code
GO:0003676	nucleic acid binding	IEA	
GO:0008270	zinc ion binding	IEA	
GO:0046872	metal ion binding	IEA	

UniProt accession:Q59ZX1
GO ID	Go Term	GO Evidence Code
GO:0008270	zinc ion binding	IEA	
GO:0046872	metal ion binding	IEA	

UniProt accession:Q7Z9J6
GO ID	Go Term	GO Evidence Code
GO:0016209	antioxidant activity	IEA	
GO:0016491	oxidoreductase activity	IEA	
GO:0051920	peroxiredoxin activity	IEA	

UniProt accession:Q9C1U1
GO ID	Go Term	GO Evidence Code
GO:0000155	phosphorelay sensor kinase activity	IEA	
GO:0004871	signal transducer activity	IEA	
GO:0016301	kinase activity	IEA	
GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	

UniProt accession:I1RGD6
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0004672	protein kinase activity	IEA	
GO:0004674	protein serine/threonine kinase activity	IEA	
GO:0005524	ATP binding	IEA	
GO:0016301	kinase activity	IEA	
GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	

UniProt accession:Q9RQU7
GO ID	Go Term	GO Evidence Code
GO:0005198	structural molecule activity	IEA	

UniProt accession:Q6FPV9
GO ID	Go Term	GO Evidence Code
GO:0000166	nucleotide binding	IEA	
GO:0004672	protein kinase activity	IEA	
GO:0004674	protein serine/threonine kinase activity	IEA	
GO:0004707	MAP kinase activity	IEA	
GO:0005524	ATP binding	IEA	
GO:0016301	kinase activity	IEA	
GO:0016740	transferase activity	IEA	
GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	

UniProt accession:J9MBA2
GO ID	Go Term	GO Evidence Code
GO:0016787	hydrolase activity	IEA	

UniProt accession:Q59PF9
GO ID	Go Term	GO Evidence Code
GO:0003674	molecular_function	ND	

UniProt accession:G4MTF9
GO ID	Go Term	GO Evidence Code
GO:0003674	molecular_function	ND	

UniProt accession:P00445
GO ID	Go Term	GO Evidence Code
GO:0004784	superoxide dismutase activity	IEA	
GO:0004784	superoxide dismutase activity	IDA	
GO:0005515	protein binding	IPI	
GO:0016209	antioxidant activity	IEA	
GO:0016491	oxidoreductase activity	IEA	
