GO:0016526	G-protein coupled receptor activity
GO:0004474	malate synthase activity
GO:0004871	signal transducer activity
GO:0009847	spore germination
GO:0016310	phosphorylation
GO:0005524	ATP binding
GO:0008233	peptidase activity
GO:0004673	protein histidine kinase activity
GO:0006631	fatty acid metabolic process
GO:0006810	transport
GO:0030257	type III protein secretion system complex
GO:0005634	nucleus
GO:0000156	phosphorelay response regulator activity
GO:0000160	phosphorelay signal transduction system
GO:0003674	molecular_function
GO:0030254	protein secretion by the type III secretion system
GO:0016020	membrane
GO:0006378	mRNA polyadenylation
GO:0045482	trichodiene synthase activity
GO:0016413	O-acetyltransferase activity
GO:0008565	protein transporter activity
GO:0004645	phosphorylase activity
GO:0004100	chitin synthase activity
GO:0008471	laccase activity
GO:0006118	electron transport
GO:0003810	protein-glutamine gamma-glutamyltransferase activity
GO:0015448	type III protein (virulence-related) secretor activity
GO:0004089	carbonate dehydratase activity
GO:0016887	ATPase activity
GO:0051049	regulation of transport
GO:0042959	alkanesulfonate transporter activity
GO:0004650	polygalacturonase activity
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
GO:0030437	ascospore formation
GO:0004190	aspartic-type endopeptidase activity
GO:0044412	growth or development of symbiont in host
GO:0042438	melanin biosynthetic process
GO:0015031	protein transport
GO:0004451	isocitrate lyase activity
GO:0045227	capsule polysaccharide biosynthetic process
GO:0044416	induction by symbiont of host defense response
GO:0015927	trehalase activity
GO:0044405	recognition of host
GO:0006471	protein ADP-ribosylation
GO:0032147	activation of protein kinase activity
GO:0005215	transporter activity
GO:0016021	integral component of membrane
GO:0016789	carboxylic ester hydrolase activity
GO:0045484	L-lysine 6-transaminase activity
GO:0030030	cell projection organization
GO:0003677	DNA binding
GO:0004672	protein kinase activity
GO:0000166	nucleotide binding
GO:0007010	cytoskeleton organization
GO:0004857	enzyme inhibitor activity
GO:0050879	multicellular organismal movement
GO:0005874	microtubule
GO:0008926	mannitol-1-phosphate 5-dehydrogenase activity
GO:0044409	entry into host
GO:0031640	killing of cells of other organism
GO:0005198	structural molecule activity
GO:0030581	symbiont intracellular protein transport in host
GO:0004707	MAP kinase activity
GO:0004765	shikimate kinase activity
GO:0042603	capsule
GO:0019867	outer membrane
GO:0009306	protein secretion
GO:0008152	metabolic process
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0005975	carbohydrate metabolic process
GO:0009279	cell outer membrane
GO:0009267	cellular response to starvation
GO:0016301	kinase activity
GO:0042045	epithelial fluid transport
GO:0008270	zinc ion binding
GO:0051701	interaction with host
GO:0042626	ATPase activity, coupled to transmembrane movement of substances
GO:0031176	endo-1,4-beta-xylanase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0019419	sulfate reduction
GO:0004022	alcohol dehydrogenase (NAD) activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0000772	mating pheromone activity
GO:0045483	aristolochene synthase activity
GO:0006355	regulation of transcription, DNA-templated
GO:0009405	pathogenesis
GO:0006820	anion transport
GO:0018106	peptidyl-histidine phosphorylation
GO:0030423	targeting of mRNA for destruction involved in RNA interference
GO:0003924	GTPase activity
GO:0009289	pilus
GO:0008810	cellulase activity
GO:0005353	fructose transmembrane transporter activity
GO:0005525	GTP binding
GO:0005186	pheromone activity
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0004615	phosphomannomutase activity
GO:0004558	alpha-1,4-glucosidase activity
GO:0006066	alcohol metabolic process
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0008150	biological_process
GO:0006508	proteolysis
GO:0016740	transferase activity
GO:0048622	reproductive sporulation
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0000103	sulfate assimilation
GO:0055085	transmembrane transport
GO:0020027	hemoglobin metabolic process
GO:0004785	superoxide dismutase activity
GO:0000155	phosphorelay sensor kinase activity
GO:0009228	thiamine biosynthetic process
GO:0007165	signal transduction
GO:0016779	nucleotidyltransferase activity
GO:0044413	avoidance of host defenses
GO:0003723	RNA binding
GO:0000104	succinate dehydrogenase activity
GO:0005946	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
GO:0005833	hemoglobin complex
GO:0017111	nucleoside-triphosphatase activity
GO:0044419	interspecies interaction between organisms
