Pathogen Taxon ID	Pathogen Taxon Name	Pathogen Species Taxon ID	Pathogen Species Name	PubMed IDs
346	Xanthomonas citri	346	Xanthomonas citri	22435635
278938	Botrytis elliptica	278938	Botrytis elliptica	20507492
337	Burkholderia glumae	337	Burkholderia glumae	23284909;17194844;18631177;22364153;15345450;21039666
645133	Colletotrichum graminicola M1.001	31870	Colletotrichum graminicola	18448365
237631	Ustilago maydis 521	5270	Ustilago maydis	20618705
305	Ralstonia solanacearum	305	Ralstonia solanacearum	20447285;21453432
1351	Enterococcus faecalis	1351	Enterococcus faecalis	23086208
474186	Enterococcus faecalis OG1RF	1351	Enterococcus faecalis	23755154
1170229	Penicillium digitatum PHI26	36651	Penicillium digitatum	24727399
5039	Blastomyces dermatitidis	5039	Blastomyces dermatitidis	12023375;10209038;16243837
563041	Helicobacter pylori G27	210	Helicobacter pylori	25170542
318	Pseudomonas syringae pv. glycinea	29438	Pseudomonas savastanoi	3049552;9100386;3027035
881954	Pyrenophora tritici-repentis DW7 race5	45151	Pyrenophora tritici-repentis	21980935
5207	Cryptococcus neoformans	5207	Cryptococcus neoformans	14982637;21453402;10482503;15643059;11251806;12581355;9389652;15728721;9184205;15503029;12933837;23322637;24895304;7991574;10899116;10639402;15643074;23071437;8675296;10792722;11415984;20673806;15469513;25011011;15039347;17121456;12139628;15590822;14871933;14523045;9573112;14500501;15189996;11248066;16041017;11123698;11298287;12438649;10581270;12787363;23691177;15383535;15870468;16741577;11737651;12177356;12595473;14977977;11287622;16835458;15765146;14622414;9426132;16672377;8760791;8406836;12455973;15760278;15111322;12654817;11157776;15302835;8007987;10704467;24939886;16129666;11359567;15133116;16045626
264730	Pseudomonas syringae pv. phaseolicola 1448A	29438	Pseudomonas savastanoi	17073302;15701698
342109	Xanthomonas oryzae pv. oryzae MAFF 311018	347	Xanthomonas oryzae	24520898
59765	Fusarium oxysporum f. sp. lycopersici	5507	Fusarium oxysporum	19228334
948564	Vibrio cholerae C6706	666	Vibrio cholerae	24901994
13684	Parastagonospora nodorum	13684	Parastagonospora nodorum	16028107;18776038;20495056;16622070;17020577;15205912;15306011;22241993;10799502;19806176;15141949;19233304;22145589;10328985;18683907;18796335;15720079;16859492
5530	Metarhizium anisopliae	5530	Metarhizium anisopliae	19649636;21571888
5518	Fusarium graminearum	5518	Fusarium graminearum	19909822;20102747;22947191;19888824;24785759;22483046;22913493
140110	Nectria haematococca	140110	Nectria haematococca	12925899;11208022;10931947
83332	Mycobacterium tuberculosis H37Rv	1773	Mycobacterium tuberculosis	23308068;24895305;23326232
5111	Claviceps purpurea	5111	Claviceps purpurea	15077671;15670709;12406210;19762439;12135573;12026168
660469	Cryphonectria parasitica EP155	5116	Cryphonectria parasitica	21355996
4792	Phytophthora parasitica	4792	Phytophthora parasitica	12410815;9390419
323	Pseudomonas syringae pv. tomato	251701	Pseudomonas syringae group genomosp. 3	2132028;16529372;8335641;1537802
5551	Trichophyton rubrum	5551	Trichophyton rubrum	15980358;16723593
353153	Trypanosoma cruzi strain CL Brener	5693	Trypanosoma cruzi	17938222;23272170
129394	Xanthomonas oryzae pv. oryzicola	347	Xanthomonas oryzae	23157387;23418541;23672717
1247190	Saccharomyces cerevisiae BY4741	4932	Saccharomyces cerevisiae	19502579
40559	Botrytis cinerea	40559	Botrytis cinerea	18208491;11929539;15986930;20526618;14651630;17849715;15998308;18263765;12948512;12324349;20595070;12744465;16420354;9768518;19116175;18842094;9002270;21839848;16497329;21722295;21277985;11310744;16941908;14731267;19154205;10875333;23308280;21707620;16946258;18065558;21722294;19589074;15950157;16882034;18624644;20223291;16404950;20672878;11763127
4787	Phytophthora infestans	4787	Phytophthora infestans	15819621;9724689;15980196;15894622;12840044;14555479;14763970;15096512
40410	Cryptococcus neoformans var. neoformans	5207	Cryptococcus neoformans	12455960;1541525
5499	Passalora fulva	5499	Passalora fulva	9671796;12481994;10394902;15845874;8208859;11277429;11277434;10571888;10447668;9119054;12736265;9756710;18660430;8114941;1799694;14769793;11297411;12695849;9090881;9625714;9924993;15469522;12139631
426428	Fusarium oxysporum f. sp. lycopersici 4287	5507	Fusarium oxysporum	22827542;21441438;19161356;23718123;15588997;16353549;20639450;18705871
5016	Bipolaris maydis	5016	Bipolaris maydis	15590838;17056706;12730371;8953776;20192833;18473669;2238387;12671080;15701806;19547975;10557357;15755917;12236595
2096	Mycoplasma gallisepticum	2096	Mycoplasma gallisepticum	23657682
5116	Cryphonectria parasitica	5116	Cryphonectria parasitica	11038529;9501479;9353946;14982623;15590820
77044	Rosellinia necatrix	77044	Rosellinia necatrix	24742836
373153	Streptococcus pneumoniae D39	1313	Streptococcus pneumoniae	25096389
251360	Fusarium oxysporum f. sp. phaseoli	5507	Fusarium oxysporum	17462924
135779	Cercospora zeae-maydis	135779	Cercospora zeae-maydis	12971599;18682297
332648	Botrytis cinerea B05.10	40559	Botrytis cinerea	23118899;20078780
39703	Septoria lycopersici	39703	Septoria lycopersici	11106022
914237	Rhynchosporium commune	914237	Rhynchosporium commune	22712509
