PHI:I1	PHI:3	GO:0004650
PHI:I6	PHI:15	GO:0051701
PHI:I7	PHI:17	GO:0004190
PHI:I9	PHI:19	GO:0044412
PHI:I12	PHI:24	GO:0044409
PHI:I12	PHI:24	GO:0044412
PHI:I15	PHI:27	GO:0044409
PHI:I16	PHI:27	GO:0044409
PHI:I23	PHI:40	GO:0042438
PHI:I26	PHI:44	GO:0045482
PHI:I27	PHI:44	GO:0045482
PHI:I28	PHI:44	GO:0045482
PHI:I29	PHI:44	GO:0044412
PHI:I29	PHI:44	GO:0045482
PHI:I30	PHI:44	GO:0045482
PHI:I31	PHI:44	GO:0044412
PHI:I31	PHI:44	GO:0045482
PHI:I41	PHI:55	GO:0044412
PHI:I45	PHI:59	GO:0044409
PHI:I74	PHI:86	GO:0044412
PHI:I76	PHI:88	GO:0044412
PHI:I81	PHI:97	GO:0044412
PHI:I84	PHI:100	GO:0051701
PHI:I86	PHI:103	GO:0044412
PHI:I88	PHI:103	GO:0044412
PHI:I94	PHI:109	GO:0044409
PHI:I94	PHI:109	GO:0044412
PHI:I96	PHI:113	GO:0044409
PHI:I103	PHI:123	GO:0044412
PHI:I111	PHI:132	GO:0042626
PHI:I111	PHI:132	GO:0044412
PHI:I112	PHI:133	GO:0044409
PHI:I112	PHI:133	GO:0044412
PHI:I113	PHI:134	GO:0044409
PHI:I113	PHI:134	GO:0044412
PHI:I126	PHI:146	GO:0044409
PHI:I128	PHI:151	GO:0051701
PHI:I133	PHI:158	GO:0044409
PHI:I135	PHI:160	GO:0044409
PHI:I136	PHI:161	GO:0044409
PHI:I136	PHI:161	GO:0044412
PHI:I137	PHI:161	GO:0044409
PHI:I137	PHI:161	GO:0044412
PHI:I138	PHI:161	GO:0044409
PHI:I138	PHI:161	GO:0044412
PHI:I141	PHI:164	GO:0044409
PHI:I142	PHI:165	GO:0044409
PHI:I142	PHI:165	GO:0044412
PHI:I147	PHI:169	GO:0044412
PHI:I168	PHI:188	GO:0044409
PHI:I174	PHI:196	GO:0004638
PHI:I183	PHI:202	GO:0044412
PHI:I184	PHI:203	GO:0044412
PHI:I185	PHI:203	GO:0044412
PHI:I205	PHI:222	GO:0044412
PHI:I218	PHI:231	GO:0044409
PHI:I229	PHI:243	GO:0044409
PHI:I230	PHI:244	GO:0044409
PHI:I230	PHI:244	GO:0044412
PHI:I231	PHI:245	GO:0044409
PHI:I231	PHI:245	GO:0044412
PHI:I233	PHI:247	GO:0044412
PHI:I241	PHI:256	GO:0044409
PHI:I242	PHI:257	GO:0044409
PHI:I257	PHI:268	GO:0044409
PHI:I257	PHI:268	GO:0044412
PHI:I277	PHI:285	GO:0044409
PHI:I277	PHI:285	GO:0044412
PHI:I279	PHI:287	GO:0044412
PHI:I286	PHI:294	GO:0044409
PHI:I290	PHI:301	GO:0044409
PHI:I290	PHI:301	GO:0044412
PHI:I291	PHI:301	GO:0044409
PHI:I291	PHI:301	GO:0044412
PHI:I297	PHI:308	GO:0044409
PHI:I298	PHI:309	GO:0044409
PHI:I298	PHI:309	GO:0044412
PHI:I316	PHI:322	GO:0044409
