I1RAE5	FG00472.1	FGSG_00472	
P74849	sipA	sspA	STY3005	t2784	
G4MXJ4	MGG_01230	
Q4ZM64	Psyr_4731	
G4XVB6	CHS1	
Q9HEP9	g1	
Q9C1C2	PKAR	RPK1	Cob_09468	
O42830	cbel1	
A7EKS0	SS1G_05917	
Q9P872	pmr1	
Q9HWS1	PA4107	
G4NIU3	MGG_04116	
P63786	clpP	MW0730	
P43094	SAP5	CaO19.13032	CaO19.5585	
G0X877	um05294	
G4MRA3	MGG_13778	
Q59ZX1	SET3	CaO19.7221	
Q7Z9J6	TSA1	
C9Z5Q3	SCAB_58651	
Q9C1U1	Hik1	
I1RGD6	FG02795.1	FGSG_02795	
D2E9W8	DEP3	
Q9RQU7	fliC	BG47_10860	
C6ZRH8	OPT1	
Q6FPV9	CAGL0J00539g	
J9MBA2	FOXG_00147	
Q59PF9	HWP2	PGA8	CaO19.10888	CaO19.3380	
G4MTF9	MGG_01543	
P00445	SOD1	YJR104C	J1968	
J9VQA5	CNAG_03438	
Q4ZX85	Psyr_1183	
Q4P8W4	UM03449.1	
Q8J1X6	clnr1	
Q5G7K8	Atr13	
P0CS63	RIM101	CNBL0920	
I1RH87	FG03132.1	FGSG_03132	
D7HUI6	PSA3335_0496	
J7H6V8	NoxR	
W7LWT0	FVEG_00807	
G4MRB0	MGG_04685	
Q0E7H7	nep2	
C1KJI7	AVR-Pita1	
Q0GBR6	ROP18	
C4Y985	CLUG_04763	
G4N8A1	MGG_03459	
Q4ZXG1	Psyr_1107	
Q96X31	ptk1	
O13359	KEX2	CAWG_00530	
G4N4P0	MGG_05133	
G4N6V5	MGG_12814	
V9GNU9	arcA	YP1_031_00200	
Q888Y7	hopQ1-1	PSPTO_0877	
I1RQ89	FG06228.1	FGSG_06228	
Q8XFU4	ssrB	t1259	
P11437	avrA	
Q59WG7	BIG1	CaO19.2334	CaO19.9870	
P0CM54	CNB1	CND00260	
P40086	COX15	YER141W	
P78608	pg2	
G4NCR0	MGG_00345	
Q0U6E8	mpd1	SNOG_12666	
Q79LY0	hopD2	hopA01	hopPtoD2	PSPTO_4722	
I1RWM5	FGSG_08701	
Q8X1D4	mig2-5	
Q8Z4A2	prgK	t2773	
Q59X38	NOP7	CaO19.11574	CaO19.4093	
Q5AP90	MNN23	MNN3	CaO19.12338	CaO19.4874	
I1RU59	FG07742.1	FGSG_07742	
Q8J0E3	PLS1	
C1KJG7	AVR-Pita1	avr-Pita1	
Q4ZMD6	hopAB1	Psyr_4659	
Q56134	sipB	STY3008	t2787	
Q5AK12	CNB1	CaO19.11492	CaO19.4009	
I1RSK0	FG07121.1	FGSG_07121	
D7I6Y8	atpH	PSA3335_5006	
Q59TT3	PLD1	SPO14	CaO19.1161	
Q9L8G8	smcR	vvpR	JS83_03065	JS84_13575	JS85_08115	JS86_16400	JS87_00250	KY51_12950	VV93_v1c24820	
Q59UR3	SWI1	CaO19.13102	CaO19.5657	
Q5ABD7	CMP1	CNA1	CaO19.13454	
B6VCT7	ATG8	
G0X7M7	um10555	
Q4G495	pg2	PG2	
Q2TJF8	FSR1	
Q5A2T6	SIT1	ARN1	CaO19.2179	CaO19.9725	
Q2V9X3	tf1	
D7I2L9	PSA3335_3433	
Q96VL3	pt1	
I1RE92	FG01974.1	FGSG_01974	
Q0PND3	TGL3-2	
Q5ACU3	PMT5	CaO19.7549	
Q888W3	hopAG1	PSPTO_0901	
Q8Z6N6	ssaU	t1290	
I1RS33	FG06940.1	FGSG_06940	
X5IFG8	RnPKS1	
G4NHF4	MGG_03860	
Q9P880	bac	
P0CL09	sirC	hilC	sprA	STM2867	
B6VCT9	ste11	
Q5ABP4	CMP1	CNA1	CaO19.6033	
E3QRA4	GLRG_08671	
G4MWS3	XYL3	MGG_08331	
D7I202	PSA3335_3214	
D0ZWR8	spiC	ssaB	STM14_1688	
Q4VSJ8	tofI	
G4MKW8	MGG_13024	
A4QYF9	CHZ1	MGG_08560	
Q99324	B2Tom	
G4NDX0	MGG_00184	
I0ISN4	vfr	
J5JDI1	BBA_07003	
P67267	spr1010	
O93920	MPLC1	
G4MZY1	MGG_06148	
J9NE50	FOXG_13474	
P0CY28	SAP3	
Q12634	MGG_02252	
I1S0G8	FG10196.1	FGSG_10196	
Q94795	opb	
G4MLE6	MGG_05428	
P87199	kin2	
G0X7L8	um10556	
D7I145	PSA3335_2900	
Q6RKH8	PKS2	
I6Y8D3	Rv0650	RVBD_0650	LH57_03520	P425_00679	
Q5AL36	TYE7	CaO19.12407	CaO19.4941	
Q96VL1	mk1	
Q97PH9	SP_1638	
G4N8B1	MGG_03451	
Q5D6D3	NPS6	
O93800	AKT1	
I1RSW5	FG07251.1	FGSG_07251	
Q5AG40	VPS4	CaO19.4339	
J9N2Z8	FOXG_09554	
Q9Y8A2	FUM1	
P30573	CHS3	
G1UAJ9	ASH1	
I1S3N8	FG11428.1	FGSG_11428	
Q87UQ6	PSPTO_5240	
Q8NKE2	AOX1	CNAG_00162	
Q4PCH2	yap1	UM02191.1	
Q52394	avrPphE	
P43093	SAP4	CAWG_05020	
A3M771	A1S_2343	
P78737	toxA	ToxA	
G2WWK9	VDAG_01995	
Q1L2E2	Als1	
Q4PBN8	UM02475.1	
W7M5P0	FVEG_04543	
A0SXQ6	Rho3	
Q01168	NUT1	MGCH7_ch7g504	MGG_02755	
I1RIV2	FG03747.1	FGSG_03747	
G4N168	MGG_07456	
Q59ZY7	YVH1	CaO19.11879	CaO19.4401	
I1RP15	FG05764.1	FGSG_05764	
Q523C3	ATG4	MGG_03580	
C5IAW5	Tox3	
D4I7B7	rcsC	EAM_2263	
Q8TGB2	LAS21	GPI7	CaO19.11547	CaO19.4064	
L8AYM6	cyaA	
B6E222	CYP51	
D7HVA7	PSA3335_0777	
I1RLH1	FGSG_04770	
Q59KJ7	MNN21	CaO19.1011	CaO19.8625	
Q00663	SAPT1	
H9L495	ssaC	STM1394	
Q4PBH8	UM02535.1	
C5BEV2	glyA	NT01EI_3190	
P53707	CSP37	CSP30	
P0C6Q6	ompU	VC_0633	
Q5H2X8	ssb	XOO1439	
Q4WUL6	lys4	lysF	AFUA_5G08890	
G4NGZ9	MGG_03977	
P87033	GPA2	UM02517	
Q0P928	htrA	Cj1228c	
I1RUC7	FG07816.1	FGSG_07816	
I1S0C0	FG10142.1	FGSG_10142	
Q8TFN5	CHSIII	
L7JE74	OOW_P131scaffold00420g8	
D2E9W9	DEP4	
G0X7P5	um10553	
G4N2V0	MGG_13926	
Q5K8C9	CNL06140	
Q9Y7E5	SPT3	
I1REF2	FG02040.1	FGSG_02040	
Q99078	FUZ7	UM01514	
F8R4Y0	PKS	
Q06562	XYL1	
P40612	spaM	invI	STM2893	
G0X7W8	um05313	
G4N2B2	MGG_04853	
Q2VLJ1	ZEB1	
Q8DMX7	spr2028	
G4NIP8	MGG_04159	
B2SME5	PXO_01018	PXO_06148	
Q2VF46	cut1	
C4YDI6	CDC42	CAWG_00581	
I1RT06	FG07295.1	FGSG_07295	
I1RCM6	FG01347.1	FGSG_01347	
Q870A3	pacC	FOXG_02222	
Q4P9L1	UM03202.1	
G4MV04	MGG_07312	
Q4ZY22	Psyr_0892	
D7HWR0	PSA3335_1304	
I8LT72	yopK	YPPY66_0046	
P87025	THR1	Cob_04570	
I1RKR8	FG04484.1	FGSG_04484	
B2SRG8	raxH	PXO_04467	
I1RWL9	FG08695.1	FGSG_08695	
I1RHA1	FG03146.1	FGSG_03146	
I1RBR4	FG01000.1	FGSG_01000	
I1RKS2	FG04488.1	FGSG_04488	
I1RGH4	FG02838.1	FGSG_02838	
Q66EI1	pdhR	YPTB0712	
Q51MW4	ATG8	MGG_01062	
Q0UF61	SNOG_09603	
Q5AAL9	IFF4	CaO19.7472	
Q8Z4A1	prgJ	t2774	
I1REI8	FG02077.1	FGSG_02077	
Q01905	INF1	inf1	
O13352	MPS1	
E2MMQ4	PSPTOT1_2469	
Q8Z6N0	ssaN	t1283	
I1RJS2	FGSG_04104	
A4ULI8	CYP51	
Q3BQL2	XCV3220	
Q9SZA7	At4g33300	F17M5.60	
G4MRV1	MGG_02443	
I1RQN9	FG06385.1	FGSG_06385	
Q3I4V7	CAN2	
Q4PET8	UM01375.1	
C5BG70	NT01EI_2872	
Q8MYK0	cdpk3	
D7HVF9	PSA3335_0830	
I1RWG2	FG08631.1	FGSG_08631	
P0A2T6	crp	cap	STM3466	
P43064	EFG1	EFG	
G4NCK1	MGG_01057	
I1RME6	FG05135.1	FGSG_05135	
Q8J230	kpp4	
Q92215	TOXC	
G4ND33	MGG_00990	
D7I6Y3	glmU	PSA3335_5001	
Q258K5	avrLm1	
O93801	AKT2	AKT2-1	
B2HLZ8	ppgK	MMAR_2012	
Q87BQ4	gumD	PD_1394	
I1S2M5	FG11024.1	FGSG_11024	
Q9Y880	SNF1	
P02829	HSP82	HSP90	YPL240C	
I1RMV6	FG05306.1	FGSG_05306	
G4NEK6	MGG_00773	
Q4WIH1	AFUA_2G01870	
Q8J0E2	PLS1	
I1RXS5	FG09150.1	FGSG_09150	
Q8Z6L8	sseE	t1270	
Q8PI08	XAC3090	
A7E5X4	SS1G_00699	
I1RKC4	FG04324.1	FGSG_04324	
Q46631	amsA	
D3JLB9	Tc52	
G4MPP9	MGG_02240	
Q4PBN9	UM02474.1	
Q6R3Q3	Amk1	
Q8TGW9	SSN6	
B5TM01	CMK1	
G4XVC0	CHS5	
O42621	PTH3	MGG_07528	
I1RM19	FG04994.1	FGSG_04994	
G0X863	um05295	
I1RCP1	FG01364.1	FGSG_01364	
P21264	ADE2	YOR128C	O3293	YOR3293C	
Q8Z4N6	sseA	STY2779	t0323	
I1RW16	FG08468.1	FGSG_08468	
Q52432	avrRps4	
G4NCA2	MGG_01099	
Q595M4	gapA	
Q9UVG2	odc1	
B6E221	CYP51	
G4MS03	MGG_02488	
G4NBI7	MGG_00528	
A4VZ16	SSU98_0197	
D7HZ46	PSA3335_2177	
P96058	sirA	t0929	
Q00357	TOXA	
I1RWQ0	FG08729.1	FGSG_08729	
P74855	ssaM	STM1413	
Q8TGV2	CHS5	
I1RNL0	FG05593.1	FGSG_05593	
B5M4A8	CHS7	
P0A1T4	ydhZ	STM1388	
I1RS32	FG06939.1	FGSG_06939	
E0W547	Avh	
P08191	fimH	b4320	JW4283	
P0C954	gel2	AFUA_6G11390	
C6KEF5	STE20	
P0CS95	URA5	CNG03730	
Q5ABG1	SET1	CaO19.13430	CaO19.6009	
Q01143	cpkA	
Q9UWE7	Tri6	
Q01886	HTS1	
Q00819	CAP64	
V9W6M6	ERIC2_c18040	
Q8J0D1	ACR1	
D7HZ26	PSA3335_2156	
Q9C478	AVR-Pita	
F8R4X8	SCD	
J7I5J0	CBP49	
Q696X2	Glo1	
P0CY23	CST20	HST20	STE20	
I1RT36	FG07329.1	FGSG_07329	
Q0ZJ79	pcpg2	
Q2FIB5	argH	SAUSA300_0863	
G4MUF4	MGG_01662	
Q60153	tcpA	VC_0828	
G4MX10	MGG_01215	
G4N881	MGG_06285	
Q7CQF1	hnr	rssB	STM1753	
G4ML19	MGG_08628	
Q7Z7W8	lopB	
P27243	rfaL	waaL	b3622	JW3597	
Q4P9K9	CHS8	MCS1	UM03204	
B9VSG8	lipA	
Q59Y24	YNG1	CaO19.11108	CaO19.3625	orf19.3625	
Q9UW13	RIM8	PRR1	CaO19.13510	CaO19.6091	
Q4P2D2	UM05731.1	
Q8NJQ3	DEC1	COCC4DRAFT_155400	
I1RNY7	FG05734.1	FGSG_05734	
G4NF05	MGG_00692	
