chemistry target
Effector (plant avirulence determinant)	POO:0000005
Enhanced antagonism	POO:0000007
essential	POO:0000006
Increased virulence	POO:0000004
Increased virulence (hypervirulence)	POO:0000004
Increased virulence (Hypervirulence)	POO:0000004
Lethal	POO:0000006
Loss of pathogenicity	POO:0000001
Non-Pathogenic
reduced virulence	POO:0000002
Reduced virulence	POO:0000002
Resistant to chemical	POO:0000008
Sensitive to chemical	POO:0000009
Unaffected pathogenicity	POO:0000003
Virulent	POO:0000004
Wild-type mutualism	
