PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
3	PHI:3	Entrez Protein	AAA79885		SB111	PGN1			5017	Cochliobolus carbonum	SB111	Leaf spot	Monocot	4577	Maize	Endopolygalacturonase	GO:0004650	GO		Unaffected pathogenicity		No	No	No					pectin				gene disruption		MU; JA	2152162	PubMed		Expression during all infection stages
5	PHI:5	Uniprot	Q8J181	AF463528		Avr1-CO39			148305	Magnaporthe grisea		Rice Blast	Monocot	4530	Rice	Effector protein				Reduced virulence		NA	NA	NA											MU	2016048	PubMed		
7	PHI:7	Entrez Protein	CAA42824		race 5	AVR9			5499	Cladosporium fulvum		Leaf mold	Dicot	4081	Tomato	Effector protein				Effector (plant avirulence determinant)													gene deletion		MU	1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed		
10	PHI:10	Uniprot	B8RCU0	ACL14418		BE			5270	Ustilago maydis		Corn Smut	Monocot	4577	Maize	Transcription factor				Loss of pathogenicity 															MU	1739973	PubMed		Identification by complementation
11	PHI:11	Uniprot	Q99111	M84179		BW			5270	Ustilago maydis		Corn Smut	Monocot	4577	Maize	Transcription factor				Loss of pathogenicity 															MU	1739973	PubMed		Identification by complementation
12	PHI:12	Entrez Protein	AAA33023		SB111	HTS1			5017	Cochliobolus carbonum	SB111	Leaf spot	Monocot	4577	Maize	Cylic Peptide Synthase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption		TKB; JA	11607305; 10656588 	PubMed		
13	PHI:13	Uniprot	Q04701	AAA33338		PELA			140110	Nectria haematococca		Root Rot	Dicot	3888	Pea	Pectate lyase	4.2.2.2	EC		Unaffected pathogenicity															MU	1400187	PubMed		Expression on pea epicotyl (pectin)
14	PHI:14	Entrez Protein	AAB09711		clinical isolate	ADE2			5207	Cryptococcus neoformans	H99 (serotype A)	Cryptococcosis		6239	Nematode	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	
14	PHI:14	Entrez Protein	AAB09711		clinical isolate	ADE2			5207	Cryptococcus neoformans	H99 (serotype A)	Cryptococcosis		9986	Rabbit	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB; KHK	8406836	PubMed	10.1073/pnas.232568599	
15	PHI:15	Entrez Protein	AAA20128		Guy-11	MPG1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	Hydrophobin	GO:0009405, IMP; GO:0051701	GO		Reduced virulence		Yes	No Data	No Data									gene deletion		MU	8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575	
