
UniProt accession:I1RAE5
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0000166	nucleotide binding	IEA	Function	
GO:0004672	protein kinase activity	IEA	Function	
GO:0004674	protein serine/threonine kinase activity	IEA	Function	
GO:0005524	ATP binding	IEA	Function	
GO:0006468	protein phosphorylation	IEA	Process	
GO:0016301	kinase activity	IEA	Function	
GO:0016310	phosphorylation	IEA	Process	
GO:0016740	transferase activity	IEA	Function	
GO:0016772	transferase activity, transferring phosphorus-containing groups	IEA	Function	

UniProt accession:P74849
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0003779	actin binding	IEA	Function	
GO:0005576	extracellular region	IEA	Component	
GO:0009405	pathogenesis	IEA	Process	

UniProt accession:G4MXJ4
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0005575	cellular_component	ND	Component	
GO:0008152	metabolic process	IEA	Process	
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	IEA	Function	
GO:0009450	gamma-aminobutyric acid catabolic process	IEA	Process	
GO:0016491	oxidoreductase activity	IEA	Function	
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	IEA	Function	
GO:0055114	oxidation-reduction process	IEA	Process	

UniProt accession:Q4ZM64
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0003677	DNA binding	IEA	Function	
GO:0003700	sequence-specific DNA binding transcription factor activity	IEA	Function	
GO:0006351	transcription, DNA-templated	IEA	Process	
GO:0006352	DNA-templated transcription, initiation	IEA	Process	
GO:0006355	regulation of transcription, DNA-templated	IEA	Process	
GO:0016987	sigma factor activity	IEA	Function	

UniProt accession:G4XVB6
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0004100	chitin synthase activity	IEA	Function	
GO:0006031	chitin biosynthetic process	IEA	Process	
GO:0016758	transferase activity, transferring hexosyl groups	IEA	Function	

UniProt accession:Q9HEP9
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0000166	nucleotide binding	IEA	Function	
GO:0001664	G-protein coupled receptor binding	IEA	Function	
GO:0003924	GTPase activity	IEA	Function	
GO:0004871	signal transducer activity	IEA	Function	
GO:0005525	GTP binding	IEA	Function	
GO:0006184	GTP catabolic process	IEA	Process	
GO:0007165	signal transduction	IEA	Process	
GO:0007186	G-protein coupled receptor signaling pathway	IEA	Process	
GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway	IEA	Process	
GO:0019001	guanyl nucleotide binding	IEA	Function	
GO:0031683	G-protein beta/gamma-subunit complex binding	IEA	Function	

UniProt accession:Q9C1C2
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0000166	nucleotide binding	IEA	Function	
GO:0001932	regulation of protein phosphorylation	IEA	Process	
GO:0005952	cAMP-dependent protein kinase complex	IEA	Component	
GO:0008603	cAMP-dependent protein kinase regulator activity	IEA	Function	
GO:0030552	cAMP binding	IEA	Function	
GO:0045859	regulation of protein kinase activity	IEA	Process	

UniProt accession:O42830
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	IEA	Function	
GO:0005576	extracellular region	IEA	Component	
GO:0005975	carbohydrate metabolic process	IEA	Process	
GO:0006508	proteolysis	IEA	Process	
GO:0007596	blood coagulation	IEA	Process	
GO:0030248	cellulose binding	IEA	Function	

UniProt accession:Q9P872
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0000166	nucleotide binding	IEA	Function	
GO:0005388	calcium-transporting ATPase activity	IEA	Function	
GO:0005524	ATP binding	IEA	Function	
GO:0006810	transport	IEA	Process	
GO:0006811	ion transport	IEA	Process	
GO:0006816	calcium ion transport	IEA	Process	
GO:0008152	metabolic process	IEA	Process	
GO:0016020	membrane	IEA	Component	
GO:0016021	integral component of membrane	IEA	Component	
GO:0016787	hydrolase activity	IEA	Function	
GO:0046872	metal ion binding	IEA	Function	
GO:0070588	calcium ion transmembrane transport	IEA	Process	

UniProt accession:Q9HWS1
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0005509	calcium ion binding	IEA	Function	

UniProt accession:P63786
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0004252	serine-type endopeptidase activity	IEA	Function	
GO:0005737	cytoplasm	IEA	Component	
GO:0006508	proteolysis	IEA	Process	
GO:0008233	peptidase activity	IEA	Function	
GO:0008236	serine-type peptidase activity	IEA	Function	
GO:0016787	hydrolase activity	IEA	Function	
GO:0042802	identical protein binding	IPI	Function	

UniProt accession:P43094
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0004190	aspartic-type endopeptidase activity	IEA	Function	
GO:0004190	aspartic-type endopeptidase activity	IDA	Function	
GO:0005575	cellular_component	ND	Component	
GO:0005576	extracellular region	IEA	Component	
GO:0005576	extracellular region	IDA	Component	
GO:0005622	intracellular	IDA	Component	
GO:0006508	proteolysis	IEA	Process	
GO:0006508	proteolysis	IDA	Process	
GO:0006807	nitrogen compound metabolic process	IGI	Process	
GO:0008233	peptidase activity	IEA	Function	
GO:0009405	pathogenesis	IEA	Process	
GO:0009405	pathogenesis	IGI	Process	
GO:0009405	pathogenesis	IMP	Process	
GO:0016787	hydrolase activity	IEA	Function	
GO:0030163	protein catabolic process	IGI	Process	
GO:0044270	cellular nitrogen compound catabolic process	IGI	Process	
GO:0044406	adhesion of symbiont to host	IGI	Process	

UniProt accession:G4MRA3
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0003676	nucleic acid binding	IEA	Function	
GO:0005575	cellular_component	ND	Component	
GO:0008150	biological_process	ND	Process	
GO:0008270	zinc ion binding	IEA	Function	
GO:0046872	metal ion binding	IEA	Function	

UniProt accession:Q59ZX1
GO ID	Go Term	GO Evidence Code	GO Aspect
GO:0008270	zinc ion binding	IEA	Function	
GO:0009267	cellular response to starvation	IMP	Process	
GO:0009405	pathogenesis	IMP	Process	
GO:0030447	filamentous growth	IMP	Process	
GO:0036166	phenotypic switching	IMP	Process	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	Process	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	Process	
