
UniProt accession:I1RAE5
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:P74849
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:G4MXJ4
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009450	gamma-aminobutyric acid catabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q4ZM64
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006352	DNA-templated transcription, initiation	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:G4XVB6
GO ID	Go Term	GO Evidence Code
GO:0006031	chitin biosynthetic process	IEA	

UniProt accession:Q9HEP9
GO ID	Go Term	GO Evidence Code
GO:0006184	GTP catabolic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0007186	G-protein coupled receptor signaling pathway	IEA	
GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway	IEA	

UniProt accession:Q9C1C2
GO ID	Go Term	GO Evidence Code
GO:0001932	regulation of protein phosphorylation	IEA	
GO:0045859	regulation of protein kinase activity	IEA	

UniProt accession:O42830
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0006508	proteolysis	IEA	
GO:0007596	blood coagulation	IEA	

UniProt accession:Q9P872
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0006811	ion transport	IEA	
GO:0006816	calcium ion transport	IEA	
GO:0008152	metabolic process	IEA	
GO:0070588	calcium ion transmembrane transport	IEA	

UniProt accession:P63786
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:P43094
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	
GO:0006508	proteolysis	IDA	
GO:0006807	nitrogen compound metabolic process	IGI	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IGI	
GO:0009405	pathogenesis	IMP	
GO:0030163	protein catabolic process	IGI	
GO:0044270	cellular nitrogen compound catabolic process	IGI	
GO:0044406	adhesion of symbiont to host	IGI	

UniProt accession:G4MRA3
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:Q59ZX1
GO ID	Go Term	GO Evidence Code
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
