Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 2280	PHI:2060	Uniprot	G4N5E4	EMBL	AB353135	70-15	MgLig4	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	LTH			leaves	DNA ligase; Non-homologous end-joining events	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	wild type	wild type	wild type	Camptothecin; Methyl methanesulfonate; Bleomycin; 4-nitroquinoline 1-oxidase; Hydroxyurea; Ethyl methanesulfonate; UV irradiation	Camptothecin: 7689-03-4; Methyl methanesulfonate: 66-27-3; Bleomycin: 11056-06-7; Hydroxyurea: 127-07-1; Ethyl methanesulfonate: 62-50-0	no data found			no data found	Gene deletion: full; Gene complementation			AR	18854221	Pubmed	doi:10.1016/j.fgb.2008.09.005	Mglig4 mutants were slightly more sensitive to camptothecin than Guy11. Their sensitivity to the other DNA-damaging agents (MMS, bleo-mycin, 4NQO, HU, EMS, UV irradiation) was comparable to that of the wild-type (data not shown). Re-introducing the wild-type MgLIG4 gene into mglig4 suppressed its sensitivity to camptothecin.
Record 2281	PHI:2060	Uniprot	G4N5E4	EMBL	AB353135	70-15	MgLig4	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	P2			no data found	DNA ligase; Non-homologous end-joining events	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Camptothecin; Methyl methanesulfonate; Bleomycin; 4-nitroquinoline 1-oxidase; Hydroxyurea; Ethyl methanesulfonate; UV irradiation	Camptothecin: 7689-03-4; Methyl methanesulfonate: 66-27-3; Bleomycin: 11056-06-7; Hydroxyurea: 127-07-1; Ethyl methanesulfonate: 62-50-0	no data found			no data found	Gene deletion: full; Gene complementation			AR	18854221	Pubmed	doi:10.1016/j.fgb.2008.09.005	Mglig4 mutants were slightly more sensitive to camptothecin than Guy11. Their sensitivity to the other DNA-damaging agents (MMS, bleo-mycin, 4NQO, HU, EMS, UV irradiation) was comparable to that of the wild-type (data not shown). Re-introducing the wild-type MgLIG4 gene into mglig4 suppressed its sensitivity to camptothecin.
Record 2282	PHI:2061	Uniprot	Q51MW4	Genbank	XP_368182	70-15	ATG8	no data found					na	318829	Magnaporthe oryzae		B157	Rice blast	Monocot	112509	Barley	no data found			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	no data found	no data found	reduced; defective; aberrant	no data found	reduced; aberrant	no data found	Glucose; Sucrose; Glucose-6-phosphate; Glucose-1-phosphate	Glucose: 50-99-7; Sucrose: 57-50-1; Glucose-6-phosphate: 56-73-5; Glucose-1-phosphate: 59-56-3	no data found			no data found	Gene deletion: full; Gene complementation			AR	19115483	Pubmed	no data found	atg8Δ  gained  a  fluffy  appearance,  suggesting restoration  of  aerial  hyphal  growth,  when supplemented  with  glucose  or  sucrose  as a  carbon  source. Interestingly,  the  addition of  sucrose  or  glucose  significantly  restored conidiation  in  atg8Δ  even  in  the  presence of  the  nonrepressible  disaccharide,  lactose (p  =  0.001;  Fig.  3A).  Although  profuse (Fig.  3B)  the  suppression  of  atg8Δ  conidi-ation  was  lower  in  glucose  (about  64  x  102 conidia/cm2; Fig. 3A) when compared to that induced by sucrose; Glucose-6-phosphate caused  a  remarkable  suppression  of conidiation defects. However, exogenous Glucose-1-phosphate was unable to suppress the conidiation defects
Record 2283	PHI:2062	Uniprot	G4MW66	Genbank	XP_363893	70-15	Gph1	no data found					na	318829	Magnaporthe oryzae		B157	Rice blast	Monocot	112509	Barley	no data found			leaves	no data found	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no	no	no data found	wild type	no data found	wild type	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			AR	19115483	Pubmed	no data found	no comments
Record 2284	PHI:2061	Uniprot	Q51MW4	Genbank	XP_368182	70-15	ATG8	no data found					PHI:2062	318829	Magnaporthe oryzae		B157	Rice blast	Monocot	112509	Barley	no data found			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	yes	no data found	reduced;defective	no data found	reduced; aberrant	no data found	no data found	no data found	no data found			slight induction of hypersensitive reaction	Gene deletion: full			AR	19115483	Pubmed	no data found	no comments
Record 2285	PHI:2062	Uniprot	G4MW66	Genbank	XP_363893	70-15	Gph1	no data found					PHI:2061	318829	Magnaporthe oryzae		B157	Rice blast	Monocot	112509	Barley	no data found			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	yes	no data found	reduced;defective	no data found	reduced; aberrant	no data found	no data found	no data found	no data found			slight induction of hypersensitive reaction	Gene deletion: full			AR	19115483	Pubmed	no data found	no comments
Record 2286	PHI:2063	Uniprot	G4N168	Broad	MGG_07456.6	70-15	MCNA	no data found					na	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nackdongbyeo			leaves	no data found	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	diamond-shaped and gray-centered lesions	reduced	no data found	reduced; aberrant	wild type	Calcium chloride; Cyclic AMP	Calcium chloride: 10035-04-8; Cyclic AMP: 60-92-4	no data found			fewer and smaller lesions	altered gene expression / gene regulation: silencing			AR	19190403	Pubmed	doi: 10.4014/jmb.0804.268	Addition of exogenous CaCl2 or cAMP restored appressorium formation
Record 2287	PHI:2063	Uniprot	G4N168	Broad	MGG_07456.6	70-15	MCNA	no data found					na	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nackdongbyeo			leaves	no data found	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	diamond-shaped and gray-centered lesions	reduced	no data found	reduced; aberrant	wild type	Calcium chloride; Cyclic AMP	Calcium chloride: 10035-04-8; Cyclic AMP: 60-92-4	no data found			fewer and smaller lesions	altered gene expression / gene regulation: silencing			AR	19190403	Pubmed	doi: 10.4014/jmb.0804.268	Addition of exogenous CaCl2 or cAMP restored appressorium formation
Record 2288	PHI:2064	Uniprot	C6ZEZ6		no data found	81278ZB15	AvrPiz-t	chromosome 7					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	Nipponbare			leaves	no data found	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host			AR	19271956	Pubmed	doi:10.1094 / MPMI -22-4-0411	no comments
Record 2289	PHI:2065	Uniprot	Q4R1B9	Broad	MGG_00692.6	70-15	MSTU1	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	LTH			leaves	Mobilization of lipids and glycogen	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	no	no data found	reduced	wild type	reduced	wild type	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			AR	19337737	Pubmed	doi: 10.1271/bbb.90146	no comments
