New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Interacting Proteins	Pathogen Taxon	Disease	Host Taxon	Host Target Protein	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	Inducer CAS IDs	Inducer ChEBI IDs	Anti-Infectives	Anti-Infective CAS IDs	Anti-Infective ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I1		G4MQZ9	G4MQZ9	MGG_02376	Hormone-sensitive lipase	CM001231		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0016787:hydrolase activity [GO:0016787]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I2		G4MZY1	G4MZY1	MGG_06148	Peroxisomal hydratase-dehydrogenase-epimerase	CM001233		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0003857:3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; GO:0004300: enoyl-CoA hydratase activity [GO:0004300]; GO:0006635: fatty acid beta-oxidation [GO:0006635]	GO:0019395(IMP):fatty acid oxidation	POO:0000002:reduced virulence																HRO:0000011:increased necrosis	ESO:0000007:gene complementation	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I3		G4N492	G4N492	MGG_05933	Patatin family phospholipase	CM001233		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0005737:cytoplasm [GO:0005737]; GO:0006629: lipid metabolic process [GO:0006629]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I4		G4NBI6	G4NBI6	MGG_00529	Peroxisomal biogenesis factor 6	CM001235		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0005524:ATPase activity [GO:0016887]; GO:0016887: ATP binding [GO:0005524]; GO:0005829: cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]; GO:0005777: peroxisome [GO:0005777]; GO:0016562: protein import into peroxisome matrix, receptor recycling [GO:0016562]; GO:0001302: replicative cell aging [GO:0001302]	GO:0016557(IMP):peroxisome membrane biogenesis	POO:0000001:loss of pathogenicity																HRO:0000011:increased necrosis	ESO:0000007:gene complementation	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I5		G4NBI7	G4NBI7	MGG_00528	Sterol esterase 2	CM001235		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0006629:lipid metabolic process [GO:0006629]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I6		G4NEK6	G4NEK6	MGG_00773	Triacylglycerol lipase	CM001235		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0005739:mitochondrion [GO:0005739]; GO:0019433: triglyceride catabolic process [GO:0019433]; GO:0004806: triglyceride lipase activity [GO:0004806]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I7		G4NGA7	G4NGA7	MGG_10414	Carboxylic ester hydrolase (EC 3.1.1.-)	CM001236		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0016787:hydrolase activity [GO:0016787]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I8		G4NJL1	G4NJL1	MGG_02622	Sterol esterase TGL1	CM001237		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0044255:cellular lipid metabolic process [GO:0044255]; GO:0016021: integral component of membrane [GO:0016021]; GO:0005811: lipid particle [GO:0005811]; GO:0004771: sterol esterase activity [GO:0004771]; GO:0016125: sterol metabolic process [GO:0016125]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I9		Q0PND3	Q0PND3	TGL3-2	Triacylglycerol lipase	DQ787099		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0006629:lipid metabolic process [GO:0006629]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
PHI:I10		G4MQZ9;G4N492;Q0PND3	G4MQZ9;G4N492;Q0PND3	MGG_02376;MGG_05933;TGL3-2	Hormone-sensitive lipase;Patatin family phospholipase;Triacylglycerol lipase	CM001231;CM001233;DQ787099		242507:Magnaporthe oryzae 70-15	PDO:0000031:rice blast fungal disease	4530:Oryza sativa (rice) 		Monocot	BTO:0001228:seedling	GO:0016787:hydrolase activity [GO:0016787];GO:0005737:cytoplasm [GO:0005737]; GO:0006629: lipid metabolic process [GO:0006629];GO:0006629:lipid metabolic process [GO:0006629]	GO:0004806(IMP):triglyceride lipase activity	POO:0000003:unaffected pathogenicity																HRO:0000011:increased necrosis	ESO:0000020:full gene deletion	Alistair Irvine	Alistair Irvine		17506326: Wang ZY, Soanes DM, Kershaw MJ, Talbot NJ. (2007). "Functional analysis of lipid metabolism in Magnaporthe grisea reveals a requirement for peroxisomal fatty acid beta-oxidation during appressorium-mediated plant infection." Mol Plant Microbe Interact 20(5): 475-491. 10.1094/mpmi-20-5-0475.	2015-05-19
