PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:3	Uniprot	P26215	EMBL	AAA79885	SB111	PGN1							5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocot	4577	Maize					Endopolygalacturonase	GO:0004650	GO		Unaffected pathogenicity		No	No	No						pectin						gene disruption			MU; JA	2152162	PubMed		Expression during all infection stages
PHI:7	Uniprot	P22287	EMBL	CAA42824	race 5	AVR9							5499	Cladosporium fulvum	5499		Leaf mold	Dicot	4081	Tomato					Effector protein				Effector (plant avirulence determinant)																gene deletion; complementation; biochemical evidence			MU	1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed		
PHI:12	Uniprot	Q01886	EMBL	AAA33023	SB111	HTS1							5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocot	4577	Maize					Cylic Peptide Synthase	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption			TKB; JA	11607305; 10656588 	PubMed		
PHI:14	Uniprot	P0C017	EMBL	AAB09711	clinical isolate	ADE2							5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis		6239	Nematode					Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	
PHI:14	Uniprot	P0C017	EMBL	AAB09711	clinical isolate	ADE2							5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis		9986	Rabbit					Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			TKB; KHK	8406836	PubMed	10.1073/pnas.232568599	
PHI:15	Uniprot	P52751	EMBL	AAA20128	Guy-11	MPG1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice					Hydrophobin	GO:0009405, IMP; GO:0051701	GO		Reduced virulence		Yes	No Data	No Data												gene deletion			MU	8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575	
PHI:17	Uniprot	Q00663	EMBL	CAA43678	ATCC750	ACP							5482	Candida tropicalis	5482	ATCC 750	Candidiasis		10090	Mouse					Acid proteinase	GO:0009405, IMP; GO:0004190	GO		Reduced virulence																gene disruption; complementation			TKB	7983570	PubMed		
PHI:18	Uniprot	Q00363	EMBL	CAA69643	Race 5	AVR4							5499	Cladosporium fulvum	5499	Multiple alleles from numerous strains	Leaf mold	Dicot	4081	Tomato					Effector protein				Effector (plant avirulence determinant)																biochemical analysis; mutation: characterised; complementation			TKB	8114941; 9090881; 12481994; 12736265; 14769793; 15469522	PubMed	10.1074/jbc.M212196200;10.1074/jbc.M312594200	Expression during biotrophic growth
PHI:19	Uniprot	P34809	EMBL	AAA17547	L210425	NMT							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis		9986	Rabbit					Myristoyl-CoA:protein N-myristoyltransferase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence			No Data	Yes				Heat sensitive								mutation: characterised			TKB; KHK	7991574	PubMed		Engineered temperature sensitive allele 
PHI:22	Uniprot	P49606	EMBL	AAA57469	518	UAC1							5270	Ustilago maydis	5270		Corn smut	Monocot	4577	Maize					Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	Loss of pathogenicity 		See publication	See publication	See publication												gene disruption; complementation			MU	7995519	PubMed		
