Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element	Known interacting protein(s) in the pathogen	Interacting protein - locus ID	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 1	PHI:3	Uniprot	P26215	EMBL	AAA79885	SB111	PGN1						no	5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Endopolygalacturonase	GO:0004650	GO		unaffected pathogenicity	no data found	no	no	no						pectin						gene disruption			MU; JA	2152162	PubMed		Expression during all infection stages
Record 2	PHI:7	Uniprot	P22287	EMBL	CAA42824	race 5	AVR9						no	5499	Cladosporium fulvum	no data found	no data found	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												gene deletion; complementation; biochemical evidence			MU	1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed		
Record 3	PHI:12	Uniprot	Q01886	EMBL	AAA33023	SB111	HTS1						no	5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Cylic Peptide Synthase	GO:0009405, IMP	GO		loss of pathogenicity	no data found	no data found	no data found	no data found												gene disruption			TKB; JA	11607305; 10656588 	PubMed		
Record 4	PHI:14	Uniprot	P0C017	EMBL	AAB09711	clinical isolate	ADE2						no	5207	Cryptococcus neoformans	235443	H99 (serotype A)	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)					Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	
Record 5	PHI:14	Uniprot	P0C017	EMBL	AAB09711	clinical isolate	ADE2						no	5207	Cryptococcus neoformans	235443	H99 (serotype A)	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		loss of pathogenicity	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	
Record 6	PHI:15	Uniprot	P52751	EMBL	AAA20128	Guy-11	MPG1						no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Hydrophobin	GO:0009405, IMP; GO:0051701	GO		reduced virulence	no data found	Yes	no data found	no data found												gene deletion			MU	8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575	
Record 7	PHI:17	Uniprot	Q00663	EMBL	CAA43678	ATCC750	ACP						no	5482	Candida tropicalis	5482	ATCC 750	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Acid proteinase	GO:0009405, IMP; GO:0004190	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption; gene complementation			TKB	7983570	PubMed		
Record 8	PHI:18	Uniprot	Q00363	EMBL	CAA69643	Race 5	AVR4						no	5499	Cladosporium fulvum	5499	Multiple alleles from numerous strains	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												biochemical analysis; mutation: characterised; complementation			TKB	8114941; 9090881; 12481994; 12736265; 14769793; 15469522	PubMed	10.1074/jbc.M212196200;10.1074/jbc.M312594200	Expression during biotrophic growth
Record 9	PHI:19	Uniprot	P34809	EMBL	AAA17547	L210425	NMT						no	5207	Cryptococcus neoformans	235443	H99	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					Myristoyl-CoA:protein N-myristoyltransferase	GO:0009405, IMP; GO:0044412	GO		reduced virulence	no data found	no data found	no data found	Yes				Heat sensitive								mutation: characterised			TKB; KHK	7991574	PubMed		Engineered temperature sensitive allele 
Record 10	PHI:22	Uniprot	P49606	EMBL	AAA57469	518	UAC1						no	5270	Ustilago maydis	no data found	no data found	Corn smut	Monocots	4577	Zea mays (related: Maize)					Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	loss of pathogenicity	no data found	See publication	See publication	See publication												gene disruption; gene complementation			MU	7995519	PubMed		
Record 11	PHI:24	Uniprot	Q00903	EMBL	AAB09777		Avenacinase gene						no	29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocots	4564	Triticum (related: Wheat)					Avenacinase				unaffected pathogenicity	no data found	no	no	no												gene disruption			MU	7824933	PubMed		Expression not determined
Record 12	PHI:24	Uniprot	Q00903	EMBL	AAB09777		Avenacinase gene						no	29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocots	4498	Avena sativa (related: Oat)					Avenacinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		loss of pathogenicity	no data found	no	Yes	Yes												gene disruption			MU	7824933	PubMed		Expression not determined
Record 13	PHI:25	Uniprot	Q258K5	EMBL	CAJ29326	v23.1.3	AVRLM1						no	5022	Leptosphaeria maculans	no data found	v23.1.3	Phoma stem canker	Eudicots	3708	Brassica napus (related: Rape)					Effector protein				effector (plant avirulence determinant)	no data found	no data found	no data found	no data found												gene disruption		BH	TKB; AC	16556221	PubMed	10.1111/j.1365-2958.2006.05076.x	
Record 14	PHI:26	Uniprot	P28873	EMBL	CAA37820	B792	CaMDR1						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Fungal efflux pump	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	7591094	PubMed		
Record 15	PHI:27	Uniprot	Q00368	EMBL	AAA77678		CAP20						no	474922	Colletotrichum gloeosporioides (related: Glomerella cingulata)	no data found	no data found	Anthracnose	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Appressorial wall	GO:0009405, IMP; GO:0044409	GO		loss of pathogenicity	no data found	no	Yes	no						avocado surface wax						gene disruption			TKB; JK	7756829	PubMed		Expression during host surface growth, invasion
Record 16	PHI:27	Uniprot	Q00368	EMBL	AAA77678		CAP20						no	474922	Colletotrichum gloeosporioides (related: Glomerella cingulata)	no data found	no data found	Anthracnose	Flowering plants	3435	Persea americana (related: Avocado)					Appressorial wall	GO:0009405, IMP; GO:0044409	GO		loss of pathogenicity	no data found	no	Yes	no						avocado surface wax						gene disruption			TKB; JK	7756829	PubMed		Tested on avocado fruits. Expression during host surface growth, invasion
Record 17	PHI:31	Uniprot	P30573	EMBL	BAA02707	IFO1060	CHS3						no	5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Chitin Synthase	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	7479842	PubMed		
Record 18	PHI:33	Uniprot	P43076	EMBL	AAA68196	SC5314	PHR1						no	5476	Candida albicans	5476	CAF3-1	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Membrane protein; pH responsive protein	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												gene disruption			TKB	7591097; 7823929	PubMed		
Record 19	PHI:35	Uniprot	O13337	EMBL	AAB69694	Guy11	CON7						no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Transcription factor	GO:0009405, IMP	GO		reduced virulence	no data found	no data found	no data found	no data found												other evidence			MU		Not in PubMed		Sequence of rescued plasmid insertion
Record 20	PHI:36	Uniprot	Q01143	EMBL	AAA93199		CPKA						no	318829	Magnaporthe oryzae	242507	70-15	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					PKA catalytic subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP	GO	cAMP signalling	loss of pathogenicity	no data found	Yes	Yes 	Yes		Wild type	Wild type	Wild type	Wild type							gene deletion			MU	8535140; 11006342 	PubMed	10.1105/tpc.7.11.1869	mutations in CPKA, are specific for pathogenicity, with deletion mutants of cpkA showing impaired appressorial penetration but efficient sporulation and mating
Record 21	PHI:37	Uniprot	Q99129	EMBL	AAC37439	518	MYP1						no	5270	Ustilago maydis	237631	518, 521	Corn smut	Monocots	4577	Zea mays (related: Maize)					Mycelial Development	GO:0009405, IMP	GO		reduced virulence	no	no data found	no data found	no data found												gene deletion			TKB	8647387	PubMed		
