I1RAE5
GO:0005524	ATP binding
GO:0004674	protein serine/threonine kinase activity

P74849
GO:0005576	extracellular region
GO:0009405	pathogenesis

G4MXJ4
GO:0009450	gamma-aminobutyric acid catabolic process
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity

Q4ZM64
GO:0003677	DNA binding
GO:0006352	DNA-templated transcription, initiation
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0016987	sigma factor activity

G4XVB6
GO:0006031	chitin biosynthetic process
GO:0004100	chitin synthase activity

Q9HEP9
GO:0005525	adenylate cyclase-activating G-protein coupled receptor signaling pathway
GO:0003924	GTPase activity
GO:0007189	GTP binding
GO:0004871	signal transducer activity

Q9C1C2
GO:0030552	cAMP binding
GO:0005952	cAMP-dependent protein kinase complex
GO:0008603	cAMP-dependent protein kinase regulator activity

O42830
GO:0007596	blood coagulation
GO:0005975	carbohydrate metabolic process
GO:0030248	cellulose binding
GO:0005576	extracellular region
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0006508	proteolysis

Q9P872
GO:0005524	ATP binding
GO:0005388	calcium-transporting ATPase activity
GO:0016021	integral component of membrane
GO:0046872	metal ion binding

Q9HWS1
GO:0005509	calcium ion binding

P63786
GO:0005737	cytoplasm
GO:0042802	identical protein binding
GO:0004252	serine-type endopeptidase activity

P43094
GO:0002253	activation of immune response
GO:0044406	adhesion of symbiont to host
GO:0031225	anchored component of membrane
GO:0046658	anchored component of plasma membrane
GO:0004190	aspartic-type endopeptidase activity
GO:0009986	cell surface
GO:0044270	cellular nitrogen compound catabolic process
GO:0020012	evasion or tolerance of host immune response
GO:0005576	extracellular region
GO:0009277	fungal-type cell wall
GO:0031505	fungal-type cell wall organization
GO:0052391	induction by symbiont of defense-related host calcium ion flux
GO:0044416	induction by symbiont of host defense response
GO:0005622	intracellular
GO:0052155	modulation by symbiont of host cell-mediated immune response
GO:0006807	nitrogen compound metabolic process
GO:0009405	pathogenesis
GO:0030163	protein catabolic process
GO:0019538	protein metabolic process
GO:0006508	proteolysis
GO:0010969	regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000749	response to pheromone involved in conjugation with cellular fusion
GO:0006465	signal peptide processing

G4MRA3
GO:0003676	nucleic acid binding
GO:0008270	zinc ion binding

Q59ZX1
GO:0009267	cellular response to starvation
GO:0030447	filamentous growth
GO:0044182	filamentous growth of a population of unicellular organisms
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
GO:0009405	pathogenesis
GO:0036166	phenotypic switching
GO:0008270	zinc ion binding

Q7Z9J6
GO:0051920	peroxiredoxin activity

Q9C1U1
GO:0016021	integral component of membrane
GO:0000155	phosphorelay sensor kinase activity

I1RGD6
GO:0005524	ATP binding
GO:0004674	protein serine/threonine kinase activity

D2E9W8
GO:0016021	integral component of membrane
GO:0055085	transmembrane transport

Q9RQU7
GO:0009420	bacterial-type flagellum-dependent cell motility
GO:0071973	bacterial-type flagellum filament
GO:0031514	motile cilium
GO:0005198	structural molecule activity

C6ZRH8
GO:0055085	transmembrane transport

Q6FPV9
GO:0005524	ATP binding
GO:0004707	cellular response to drug
GO:0035690	MAP kinase activity
GO:0006402	mRNA catabolic process
GO:0034976	response to endoplasmic reticulum stress
GO:0009266	response to temperature stimulus

J9MBA2
GO:0016787	hydrolase activity
GO:0006629	lipid metabolic process

Q59PF9
GO:0044406	adhesion of symbiont to host
GO:0031225	anchored component of membrane
GO:0007155	cell adhesion
GO:0005576	extracellular region
GO:0030447	filamentous growth
GO:0030446	hyphal cell wall
GO:0009405	pathogenesis
GO:0044011	single-species biofilm formation on inanimate substrate

P00445
GO:0001320	age-dependent response to reactive oxygen species involved in chronological cell aging
GO:0006878	cellular copper ion homeostasis
GO:0006882	cellular zinc ion homeostasis
GO:0005829	cytosol
GO:0031505	fungal-type cell wall organization
GO:0046872	metal ion binding
GO:0005758	mitochondrial intermembrane space
GO:1901856	negative regulation of cellular respiration
GO:0005634	nucleus
GO:0051091	positive regulation of sequence-specific DNA binding transcription factor activity
GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
GO:0050821	protein stabilization
GO:0019430	removal of superoxide radicals
GO:0004784	superoxide dismutase activity
GO:0006801	superoxide metabolic process

J9VQA5
GO:0016021	integral component of membrane
GO:0022891	substrate-specific transmembrane transporter activity

Q4P8W4
GO:0005545	1-phosphatidylinositol binding
GO:0005525	ascospore wall
GO:0005619	cell cycle
GO:0007049	cellular bud neck septin ring
GO:0000144	cytoplasmic microtubule
GO:0005881	GTP binding
GO:0001400	mating projection base
GO:0043332	mating projection tip
GO:0072687	meiotic spindle
GO:0045860	positive regulation of protein kinase activity
GO:0005628	prospore membrane
GO:0031105	septin complex
GO:0032160	septin filament array
GO:0005876	spindle microtubule
GO:0005198	structural molecule activity

Q8J1X6
GO:0043565	sequence-specific DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0008270	zinc ion binding

P0CS63
GO:0003677	cytoplasm
GO:0005737	DNA binding
GO:0046872	metal ion binding
GO:0005634	nucleus
GO:0006355	regulation of transcription, DNA-templated
GO:0006351	transcription, DNA-templated

I1RH87
GO:0005524	ATP binding
GO:0051301	cell division
GO:0004674	protein serine/threonine kinase activity

W7LWT0
GO:0003700	sequence-specific DNA binding transcription factor activity

G4MRB0
GO:0009405	pathogenesis

C1KJI7
GO:0004222	metalloendopeptidase activity

Q0GBR6
GO:0005524	ATP binding
GO:0004674	protein serine/threonine kinase activity

C4Y985
GO:0046872	metal ion binding
GO:0003676	nucleic acid binding

G4N8A1
GO:0030259	lipid glycosylation
GO:0016758	transferase activity, transferring hexosyl groups

Q4ZXG1
GO:0003677	DNA binding
GO:0006352	DNA-templated transcription, initiation
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0016987	sigma factor activity

Q96X31
GO:0005524	ATP binding
GO:0004707	MAP kinase activity

O13359
GO:0005794	Golgi apparatus
GO:0016021	integral component of membrane
GO:0004252	serine-type endopeptidase activity

G4N4P0
GO:0046872	metal ion binding
GO:0003676	nucleic acid binding

G4N6V5
GO:0043565	sequence-specific DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity

V9GNU9
GO:0003677	DNA binding
GO:0000160	phosphorelay signal transduction system
GO:0006355	regulation of transcription, DNA-templated
GO:0006351	transcription, DNA-templated

I1RQ89
GO:0035556	intracellular signal transduction
GO:0038032	termination of G-protein coupled receptor signaling pathway

Q8XFU4
GO:0003677	DNA binding
GO:0000160	phosphorelay signal transduction system
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0006351	transcription, DNA-templated

P11437
GO:0009405	pathogenesis

Q59WG7
GO:0006078	(1->6)-beta-D-glucan biosynthetic process
GO:0044406	adhesion of symbiont to host
GO:0071555	cellular response to starvation
GO:0009267	cell wall organization
GO:0005783	endoplasmic reticulum
GO:0030447	filamentous growth
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0009272	fungal-type cell wall biogenesis
GO:0016021	integral component of membrane
GO:0009405	pathogenesis
GO:0005886	plasma membrane

P0CM54
GO:0005509	calcium ion binding
GO:0009405	pathogenesis

P40086
GO:0006784	heme a biosynthetic process
GO:0016021	integral component of membrane
GO:0005743	mitochondrial inner membrane
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors

P78608
GO:0005975	carbohydrate metabolic process
GO:0071555	cell wall organization
GO:0005576	extracellular region
GO:0004650	polygalacturonase activity

G4NCR0
GO:0005524	ATP binding
GO:0000160	phosphorelay signal transduction system
GO:0004674	protein serine/threonine kinase activity
GO:0004871	signal transducer activity

Q0U6E8
GO:0050662	coenzyme binding
GO:0019594	mannitol-1-phosphate 5-dehydrogenase activity
GO:0008926	mannitol metabolic process

Q79LY0
GO:0005576	extracellular region
GO:0034053	modulation by symbiont of host defense-related programmed cell death
GO:0009405	pathogenesis
GO:0004725	protein tyrosine phosphatase activity

I1RWM5
GO:0005524	ATP binding
GO:0004672	protein kinase activity

Q8Z4A2
GO:0009306	protein secretion

Q59X38
GO:0035690	cellular response to drug
GO:0009267	cellular response to starvation
GO:0030447	filamentous growth
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:1900435	negative regulation of filamentous growth of a population of unicellular organisms in response to starvation
GO:0005730	nucleolus
GO:0009405	pathogenesis
GO:0030687	preribosome, large subunit precursor
GO:0043021	ribonucleoprotein complex binding

Q5AP90
GO:0005794	cellular response to drug
GO:0035690	Golgi apparatus
GO:0016021	integral component of membrane
GO:0046354	mannan biosynthetic process
GO:0035268	protein mannosylation
GO:0016740	transferase activity

I1RU59
GO:0005524	ATP binding
GO:0004672	protein kinase activity

Q8J0E3
GO:0016021	integral component of membrane

C1KJG7
GO:0004222	metalloendopeptidase activity

Q4ZMD6
GO:0005576	extracellular region
GO:0034053	modulation by symbiont of host defense-related programmed cell death
GO:0009405	pathogenesis

Q56134
GO:0020002	host cell plasma membrane
GO:0016021	integral component of membrane
GO:0009405	pathogenesis

Q6PQH2
GO:0008233	peptidase activity

Q5AK12
GO:0005509	calcium ion binding
GO:0006874	cellular calcium ion homeostasis
GO:0035690	cellular response to drug
GO:0030448	hyphal growth
GO:0009405	pathogenesis
GO:0051592	response to calcium ion

I1RSK0
GO:0005524	ATP binding
GO:0004674	protein serine/threonine kinase activity

D7I6Y8
GO:0005886	plasma membrane
GO:0042777	plasma membrane ATP synthesis coupled proton transport
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)

Q59TT3
GO:0009267	cellular response to starvation
GO:0030447	filamentous growth
GO:0044182	filamentous growth of a population of unicellular organisms
GO:0036171	filamentous growth of a population of unicellular organisms in response to chemical stimulus
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0009405	pathogenesis
GO:0004630	phospholipase D activity

Q9L8G8
GO:0003677	DNA binding
GO:0006355	regulation of transcription, DNA-templated
GO:0006351	transcription, DNA-templated

Q59UR3
GO:0003677	adhesion of symbiont to host
GO:0016514	cell adhesion
GO:0044406	cellular response to drug
GO:0007155	cellular response to neutral pH
GO:0035690	DNA binding
GO:0036244	filamentous growth
GO:0030447	filamentous growth of a population of unicellular organisms
GO:0044182	filamentous growth of a population of unicellular organisms in response to biotic stimulus
GO:0036180	filamentous growth of a population of unicellular organisms in response to neutral pH
GO:0036178	pathogenesis
GO:0009405	positive regulation of filamentous growth of a population of unicellular organisms
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus
GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to neutral pH
GO:1900442	positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
GO:1900461	regulation of pseudohyphal growth
GO:2000220	regulation of transcription, DNA-templated
GO:0006355	SWI/SNF complex

Q5ABD7
GO:0005955	calcineurin complex
GO:0004723	calcium-dependent protein serine/threonine phosphatase activity
GO:0071473	cellular response to cation stress
GO:0035690	cellular response to drug
GO:0009267	cellular response to starvation
GO:0016311	dephosphorylation
GO:0030447	filamentous growth
GO:0044182	filamentous growth of a population of unicellular organisms
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0031505	fungal-type cell wall organization
GO:0030448	hyphal growth
GO:0009405	pathogenesis
GO:0042981	regulation of apoptotic process

B6VCT7
GO:0006914	autophagy

Q4G495
GO:0005975	carbohydrate metabolic process
GO:0071555	cell wall organization
GO:0005576	extracellular region
GO:0004650	polygalacturonase activity

Q9C1Q7
GO:0016020	membrane
GO:0000155	phosphorelay sensor kinase activity

Q5A2T6
GO:0009986	cell surface
GO:0035690	cellular response to drug
GO:0005737	cytoplasm
GO:0042928	ferrichrome transport
GO:0042929	ferrichrome transporter activity
GO:0005886	plasma membrane
GO:0015891	siderophore transport

Q2V9X3
GO:0003677	DNA binding
GO:0005634	nucleus
GO:0000981	sequence-specific DNA binding RNA polymerase II transcription factor activity
GO:0008270	zinc ion binding

Q96VL3
GO:0005525	GTP binding
GO:0015031	protein transport
GO:0007264	small GTPase mediated signal transduction

I1RE92
GO:0005737	cytoplasm
GO:0051861	glycolipid binding
GO:0017089	glycolipid transporter activity

Q0PND3
GO:0006629	lipid metabolic process

Q5ACU3
GO:0031589	cell-substrate adhesion
GO:0035690	cellular response to drug
GO:0009267	cellular response to starvation
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0030447	filamentous growth
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0031505	fungal-type cell wall organization
GO:0044117	growth of symbiont in host
GO:0000030	mannosyltransferase activity
GO:0045861	negative regulation of proteolysis
GO:0009405	pathogenesis
GO:0005886	plasma membrane
GO:0006493	protein O-linked glycosylation
GO:0035269	protein O-linked mannosylation
GO:0044011	single-species biofilm formation on inanimate substrate

Q8Z6N6
GO:0016021	integral component of membrane
GO:0009306	protein secretion

I1RS33
GO:0005524	ATP binding
GO:0004674	protein serine/threonine kinase activity

X5IFG8
GO:0009058	biosynthetic process
GO:0016788	hydrolase activity, acting on ester bonds
GO:0016740	transferase activity

G4NHF4
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0005992	trehalose biosynthetic process

Q9P880
GO:0004016	adenylate cyclase activity
GO:0035556	intracellular signal transduction
GO:0000287	magnesium ion binding

P0CL09
GO:0043565	sequence-specific DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0006351	transcription, DNA-templated

B6VCT9
GO:0005524	ATP binding
GO:0004709	MAP kinase kinase kinase activity

Q5ABP4
GO:0005955	calcineurin complex
GO:0004723	calcium-dependent protein serine/threonine phosphatase activity
GO:0071473	cellular response to cation stress
GO:0035690	cellular response to drug
GO:0009267	cellular response to starvation
GO:0016311	dephosphorylation
GO:0030447	filamentous growth
GO:0044182	filamentous growth of a population of unicellular organisms
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
GO:0031505	fungal-type cell wall organization
GO:0030448	hyphal growth
GO:0009405	pathogenesis
GO:0042981	regulation of apoptotic process

E3QRA4
GO:0005507	copper ion binding
GO:0016491	oxidoreductase activity

G4MWS3
GO:0031176	endo-1,4-beta-xylanase activity
GO:0005576	extracellular region
GO:0045493	xylan catabolic process

D7I202
GO:0005249	voltage-gated potassium channel activity
GO:0008076	voltage-gated potassium channel complex

D0ZWR8
GO:0005737	cytoplasm
GO:0005576	extracellular region
GO:0009405	pathogenesis
GO:0015031	protein transport

Q4VSJ8
GO:0061579	N-acyl homoserine lactone synthase activity
GO:0009372	quorum sensing
GO:0007165	signal transduction

A4QYF9
GO:0005634	nucleus

Q99324
GO:0008422	beta-glucosidase activity
GO:0005975	carbohydrate metabolic process

G4NDX0
GO:0005634	nucleus
GO:0006355	regulation of transcription, DNA-templated
GO:0043565	sequence-specific DNA binding

I0ISN4
GO:0003677	DNA binding
GO:0005622	intracellular
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0006351	transcription, DNA-templated

J5JDI1
GO:0000030	mannosyltransferase activity
GO:0016020	membrane
GO:0006486	protein glycosylation

P67267
GO:0003677	bacterial nucleoid
GO:0043590	cytoplasm
GO:0005737	DNA binding

O93920
GO:0005509	calcium ion binding
GO:0035556	intracellular signal transduction
GO:0016042	lipid catabolic process
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0004871	signal transducer activity

G4MZY1
GO:0016491	oxidoreductase activity

P0CY28
GO:0004190	aspartic-type endopeptidase activity
GO:0005576	extracellular region

Q69FA8
GO:0035556	intracellular signal transduction
GO:0038032	termination of G-protein coupled receptor signaling pathway

Q12634
GO:0042438	melanin biosynthetic process
GO:0047039	tetrahydroxynaphthalene reductase activity

I1S0G8
GO:0005524	ATP binding
GO:0004672	protein kinase activity

Q94795
GO:0004252	serine-type endopeptidase activity
GO:0070008	serine-type exopeptidase activity

G4MLE6
GO:0035091	phosphatidylinositol binding

P87199
GO:0005524	ATP binding
GO:0005871	kinesin complex
GO:0005874	microtubule
GO:0003777	microtubule-based movement
GO:0007018	microtubule motor activity

D7I145
GO:0008233	peptidase activity

Q6RKH8
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups

I6Y8D3
GO:0016301	kinase activity

Q5AL36
GO:0005975	carbohydrate metabolic process
GO:0045991	carbon catabolite activation of transcription
GO:0071456	cellular response to hypoxia
GO:0030447	filamentous growth
GO:0044182	filamentous growth of a population of unicellular organisms
GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
GO:0005634	nucleus
GO:0009405	pathogenesis
GO:0045821	positive regulation of glycolytic process
GO:1900233	positive regulation of single-species biofilm formation on inanimate substrate
GO:0045944	positive regulation of transcription from RNA polymerase II promoter
GO:0043565	sequence-specific DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0044011	single-species biofilm formation on inanimate substrate
GO:0006351	transcription, DNA-templated

Q96VL1
GO:0005524	ATP binding
GO:0004707	MAP kinase activity

Q97PH9
GO:0003677	DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0046914	transition metal ion binding

G4N8B1
GO:0046872	metal ion binding
GO:0003676	nucleic acid binding

Q5D6D3
GO:0003824	catalytic activity
GO:0031177	phosphopantetheine binding

O93800
