I1RAE5	Serine/threonine-protein kinase SCH9 (Uncharacterized protein)	
P74849	Cell invasion protein SipA (Effector protein SipA)	
G4MXJ4	Succinate-semialdehyde dehydrogenase	
Q4ZM64	Sigma-70 region 2:Sigma-70 region 4	
G4XVB6	Chitin synthase 1	
Q9HEP9	G protein alpha subunit	
Q9C1C2	cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)	
O42830	CBEL protein, formerly GP34	
A7EKS0	Putative uncharacterized protein	
Q9P872	Calcium-transporting ATPase (EC 3.6.3.8)	
Q9HWS1	Uncharacterized protein	
G4NIU3	SH3 domain-containing protein	
P63786	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	
P43094	Candidapepsin-5 (EC 3.4.23.24) (ACP 5) (Aspartate protease 5) (Secreted aspartic protease 5)	
G0X877	Uncharacterized protein (Fragment)	
G4MRA3	Zinc finger protein GIS2	
Q59ZX1	Potential SET3 histone deacetylase complex component Set3p	
Q7Z9J6	Thiol-specific antioxidant protein 1	
C9Z5Q3	Putative integral membrane protein	
Q9C1U1	Histidine kinase	
I1RGD6	Kinase dsk1 (Uncharacterized protein)	
D2E9W8	Predicted MFS transporter	
I2E6J4	VRFamide-like peptide (Fragment)	
Q9RQU7	Flagellin (Flagellin subunit FliC)	
C6ZRH8	Oligopeptide transporter OPT-like protein	
Q6FPV9	Mitogen-activated protein kinase (EC 2.7.11.24)	
J9MBA2	Uncharacterized protein	
Q59PF9	Hyphal wall protein 2 (GPI-anchored protein 8)	
G4MTF9	JmjC domain-containing protein 5	
P00445	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	
J9VQA5	Hexose transporter	
Q4ZX85	Type III effector HopAA1	
Q4P8W4	Uncharacterized protein	
Q8J1X6	Major nitrogen regulatory protein	
Q5G7K8	Avirulence protein ATR13	
P0CS63	pH-response transcription factor pacC/RIM101	
Q2MV43	Avirulence protein AvrP123 (AvrP123)	
I1RH87	Cell division control protein 2 (Uncharacterized protein)	
D7HUI6	Type IV pilus biogenesis protein PilN	
J7H6V8	NADPH oxidase regulator	
W7LWT0	Nuclear transcription factor Y, alpha	
G4MRB0	Uncharacterized protein	
Q0E7H7	Putative necrosis and ethylene inducing peptide 2	
A6SSN8	Deleted.	
C1KJI7	AVR-Pita1	
Q0GBR6	Secretory serine-threonine protein kinase ROP18-III	
C4Y985	Putative uncharacterized protein	
G4N8A1	Atg26p	
Q4ZXG1	Sigma-70 region 2	
Q96X31	Mitogen-activated protein kinase (EC 2.7.11.24)	
O13359	Kexin (EC 3.4.21.61) (KEX2 protease)	
G4N4P0	Uncharacterized protein	
G4N6V5	Uncharacterized protein	
V9GNU9	Aerobic respiration control two-component response regulator ArcA	
Q888Y7	Type III effector HopQ1-1	
I1RQ89	Developmental regulator flbA (Uncharacterized protein)	
Q8XFU4	Putative two-component response regulator	
P11437	Avirulence protein A	
Q59WG7	Protein BIG1	
P0CM54	Calcineurin subunit B (Calcineurin regulatory subunit) (Protein phosphatase 2B regulatory subunit)	
P40086	Cytochrome c oxidase assembly protein COX15	
P78608	Polygalacturonase	
G4NCR0	AGC protein kinase	
Q0U6E8	Mannitol-1-phosphate 5-dehydrogenase (M1PDH) (MPD) (MPDH) (EC 1.1.1.17)	
Q79LY0	Effector protein hopD2 (EC 3.1.3.48) (Tyrosine-protein phosphatase hopPtoD2)	
I1RWM5	Uncharacterized protein	
Q8X1D4	Mig2-5	
Q8Z4A2	Pathogenicity 1 island effector protein	
