New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Experiment Specifications	Curators	Species Experts	PubMed IDs	Curation Date
PHI:I1	PHI:3	P26215	PGN1	PGN1	Polygalacturonase (PG) (EC 3.2.1.15) (Pectinase)	M55979	5017:Bipolaris zeicola		4577:Zea mays	Monocot	GO:0005975:carbohydrate metabolic process; GO:0071555: cell wall organization; GO:0005576: extracellular region; GO:0004650: polygalacturonase activity	GO:0004650:polygalacturonase activity	POO:0000003:unaffected pathogenicity	Penetration:No;Pre-penetration:No	pectin		CHEBI:17309									ESO:0000001:gene disruption	Martin Urban,Rothamsted Research;John Antoniw		2152162: Scott-Craig JS, Panaccione DG, Cervone F, Walton JD. (1990). "Endopolygalacturonase is not required for pathogenicity of Cochliobolus carbonum on maize." Plant Cell 2(12): 1191-1200. 10.1105/tpc.2.12.1191.	2015-01-13
PHI:I2	PHI:7	P22287	AVR9	AVR9	Race-specific elicitor A9	M55289;X60284	5499:Passalora fulva		4081:Solanum lycopersicum (tomato) 	Dicot	GO:0009405:pathogenesis		POO:0000005:effector (plant avirulence determinant)													ESO:0000002:gene deletion;ESO:0000007:gene complementation;ESO:0000005:biochemical analysis	Martin Urban,Rothamsted Research		1799694: van Kan JA, van den Ackerveken GF, de Wit PJ. (1991). "Cloning and characterization of cDNA of avirulence gene avr9 of the fungal pathogen Cladosporium fulvum, causal agent of tomato leaf mold." Mol Plant Microbe Interact 4(1): 52-59. .;8208859: Van den Ackerveken GF, Vossen P, De Wit PJ. (1993). "The AVR9 race-specific elicitor of Cladosporium fulvum is processed by endogenous and plant proteases." Plant Physiol 103(1): 91-96. 10.1104/pp.103.1.91.;9119054: Vervoort J, van den Hooven HW, Berg A, Vossen P, Vogelsang R, Joosten MH, de Wit PJ. (1997). "The race-specific elicitor AVR9 of the tomato pathogen Cladosporium fulvum: a cystine knot protein. Sequence-specific 1H NMR assignments, secondary structure and global fold of the protein." FEBS Lett 404(2-3): 153-158. 10.1016/s0014-5793(97)00117-8.;9625714: Kooman-Gersmann M, Vogelsang R, Vossen P, van den Hooven HW, Mahé E, Honée G, de Wit PJ. (1998). "Correlation between binding affinity and necrosis-inducing activity of mutant AVR9 peptide elicitors." Plant Physiol 117(2): 609-618. 10.1104/pp.117.2.609.;9924993: Mahé E, Vossen P, Van den Hooven HW, Le-Nguyen D, Vervoort J, De Wit PJ. (1998). "Solid-phase synthesis, conformational analysis, and biological activity of AVR9 elicitor peptides of the fungal tomato pathogen Cladosporium fulvum." J Pept Res 52(6): 482-494. .;10394902: Snoeijers SS, Vossen P, Goosen T, Van den Broek HW, De Wit PJ. (1999). "Transcription of the avirulence gene Avr9 of the fungal tomato pathogen Cladosporium fulvum is regulated by a GATA-type transcription factor in Aspergillus nidulans." Mol Gen Genet 261(4-5): 653-659. 10.1007/s004380050008.;10447668: van den Hooven HW, Appelman AW, Zey T, de Wit PJ, Vervoort J. (1999). "Folding and conformational analysis of AVR9 peptide elicitors of the fungal tomato pathogen Cladosporium fulvum." Eur J Biochem 264(1): 9-18. 10.1046/j.1432-1327.1999.00503.x.;11277429: Pérez-García A, Snoeijers SS, Joosten MH, Goosen T, De Wit PJ. (2001). "Expression of the Avirulence gene Avr9 of the fungal tomato pathogen Cladosporium fulvum is regulated by the global nitrogen response factor NRF1." Mol Plant Microbe Interact 14(3): 316-325. 10.1094/mpmi.2001.14.3.316.;11297411: van den Hooven HW, van den Burg HA, Vossen P, Boeren S, de Wit PJ, Vervoort J. (2001). "Disulfide bond structure of the AVR9 elicitor of the fungal tomato pathogen Cladosporium fulvum: evidence for a cystine knot." Biochemistry 40(12): 3458-3466. 10.1021/bi0023089.;12695849: Snoeijers SS, Pérez-García A, Goosen T, De Wit PJ. (2003). "Promoter analysis of the avirulence gene Avr9 of the fungal tomato pathogen Cladosporium fulvum in the model filamentous fungus Aspergillus nidulans." Curr Genet 43(2): 96-102. .	2015-01-13
PHI:I3	PHI:12	Q01886	HTS1	HTS1	HC-toxin synthetase (HTS) (EC 6.3.2.-)	M98024	5017:Bipolaris zeicola		4577:Zea mays	Monocot	GO:0016881:acid-amino acid ligase activity; GO:0009403: toxin biosynthetic process	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption	Thomas Baldwin;John Antoniw		11607305: Panaccione DG, Scott-Craig JS, Pocard JA, Walton JD. (1992). "A cyclic peptide synthetase gene required for pathogenicity of the fungus Cochliobolus carbonum on maize." Proc Natl Acad Sci U S A 89(14): 6590-6594. 10.1073/pnas.89.14.6590.;10656588: Pitkin JW, Nikolskaya A, Ahn JH, Walton JD. (2000). "Reduced virulence caused by meiotic instability of the TOX2 chromosome of the maize pathogen Cochliobolus carbonum." Mol Plant Microbe Interact 13(1): 80-87. 10.1094/mpmi.2000.13.1.80.	2015-01-13
PHI:I4	PHI:14	P0C017	ADE2	ADE2;CNAG_02294	Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)	U70673;CP003825	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	6239:Caenorhabditis elegans	n\a	GO:0006189:'de novo' IMP biosynthetic process; GO:0005524: ATP binding; GO:0046872: metal ion binding; GO:0004638: phosphoribosylaminoimidazole carboxylase activity	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research		12438649: Mylonakis E, Ausubel FM, Perfect JR, Heitman J, Calderwood SB. (2002). "Killing of Caenorhabditis elegans by Cryptococcus neoformans as a model of yeast pathogenesis." Proc Natl Acad Sci U S A 99(24): 15675-15680. 10.1073/pnas.232568599.	2015-01-13
PHI:I5	PHI:14	P0C017	ADE2	ADE2;CNAG_02294	Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)	U70673;CP003825	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a	GO:0006189:'de novo' IMP biosynthetic process; GO:0005524: ATP binding; GO:0046872: metal ion binding; GO:0004638: phosphoribosylaminoimidazole carboxylase activity	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research		8406836: Perfect JR, Toffaletti DL, Rude TH. (1993). "The gene encoding phosphoribosylaminoimidazole carboxylase (ADE2) is essential for growth of Cryptococcus neoformans in cerebrospinal fluid." Infect Immun 61(10): 4446-4451. .	2015-01-13
PHI:I6	PHI:15	P52751	MPG1	MPG1;MGCH7_ch7g1089;MGG_10315	Hydrophobin-like protein MPG1	L20685;CM000230;CM001237	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005576:extracellular region; GO:0009277: fungal-type cell wall; GO:0052051: interaction with host via protein secreted by type II secretion system; GO:0005199: structural constituent of cell wall	GO:0009405(IMP):pathogenesis;GO:0051701:interaction with host	POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		8312740: Talbot NJ, Ebbole DJ, Hamer JE. (1993). "Identification and characterization of MPG1, a gene involved in pathogenicity from the rice blast fungus Magnaporthe grisea." Plant Cell 5(11): 1575-1590. 10.1105/tpc.5.11.1575.;8755621: Beckerman JL, Ebbole DJ. (1996). "MPG1, a gene encoding a fungal hydrophobin of Magnaporthe grisea, is involved in surface recognition." Mol Plant Microbe Interact 9(6): 450-456. .;12481998: Soanes DM, Kershaw MJ, Cooley RN, Talbot NJ. (2002). "Regulation of the MPG1 hydrophobin gene in the rice blast fungus Magnaporthe grisea." Mol Plant Microbe Interact 15(12): 1253-1267. 10.1094/mpmi.2002.15.12.1253.	2015-01-13
PHI:I7	PHI:17	Q00663	ACP	SAPT1	Candidapepsin (EC 3.4.23.24) (ACP) (Aspartate protease) (Secreted aspartic proteinase) (SAPT)	X61438	5482:Candida tropicalis	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0004190:aspartic-type endopeptidase activity; GO:0005576: extracellular region	GO:0009405(IMP):pathogenesis;GO:0004190:aspartic-type endopeptidase activity	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		7983570: Togni G, Sanglard D, Monod M. (1994). "Acid proteinase secreted by Candida tropicalis: virulence in mice of a proteinase negative mutant." J Med Vet Mycol 32(4): 257-265. .	2015-01-13
PHI:I8	PHI:18	Q00363	AVR4	AVR4	Race-specific elicitor A4	X78829;Y08356	5499:Passalora fulva		4081:Solanum lycopersicum (tomato) 	Dicot	GO:0008061:chitin binding; GO:0006030: chitin metabolic process; GO:0005576: extracellular region; GO:0009405: pathogenesis		POO:0000005:effector (plant avirulence determinant)													ESO:0000005:biochemical analysis;ESO:0000016:characterised gene mutation;ESO:0000007:gene complementation	Thomas Baldwin		8114941: Joosten MH, Cozijnsen TJ, De Wit PJ. (1994). "Host resistance to a fungal tomato pathogen lost by a single base-pair change in an avirulence gene." Nature 367(6461): 384-386. 10.1038/367384a0.;9090881: Joosten MH, Vogelsang R, Cozijnsen TJ, Verberne MC, De Wit PJ. (1997). "The biotrophic fungus Cladosporium fulvum circumvents Cf-4-mediated resistance by producing unstable AVR4 elicitors." Plant Cell 9(3): 367-379. 10.1105/tpc.9.3.367.;12481994: Westerink N, Roth R, Van den Burg HA, De Wit PJ, Joosten MH. (2002). "The AVR4 elicitor protein of Cladosporium fulvum binds to fungal components with high affinity." Mol Plant Microbe Interact 15(12): 1219-1227. 10.1094/mpmi.2002.15.12.1219.;12736265: van den Burg HA, Westerink N, Francoijs KJ, Roth R, Woestenenk E, Boeren S, de Wit PJ, Joosten MH, Vervoort J. (2003). "Natural disulfide bond-disrupted mutants of AVR4 of the tomato pathogen Cladosporium fulvum are sensitive to proteolysis, circumvent Cf-4-mediated resistance, but retain their chitin binding ability." J Biol Chem 278(30): 27340-27346. 10.1074/jbc.m212196200.;14769793: van den Burg HA, Spronk CA, Boeren S, Kennedy MA, Vissers JP, Vuister GW, de Wit PJ, Vervoort J. (2004). "Binding of the AVR4 elicitor of Cladosporium fulvum to chitotriose units is facilitated by positive allosteric protein-protein interactions: the chitin-binding site of AVR4 represents a novel binding site on the folding scaffold shared between the invertebrate and the plant chitin-binding domain." J Biol Chem 279(16): 16786-16796. 10.1074/jbc.m312594200.;15469522: Westerink N, Brandwagt BF, de Wit PJ, Joosten MH. (2004). "Cladosporium fulvum circumvents the second functional resistance gene homologue at the Cf-4 locus (Hcr9-4E ) by secretion of a stable avr4E isoform." Mol Microbiol 54(2): 533-545. 10.1111/j.1365-2958.2004.04288.x.	2015-01-13
PHI:I9	PHI:19	P34809	NMT		Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	L25116	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	9986:Oryctolagus cuniculus (rabbit) 	n\a	GO:0006499:cytoplasm; GO:0005737: glycylpeptide N-tetradecanoyltransferase activity; GO:0004379: N-terminal protein myristoylation	GO:0009405(IMP):pathogenesis;GO:0044412:growth or development of symbiont in host	POO:0000002:reduced virulence													ESO:0000016:characterised gene mutation	Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research		7991574: Lodge JK, Jackson-Machelski E, Toffaletti DL, Perfect JR, Gordon JI. (1994). "Targeted gene replacement demonstrates that myristoyl-CoA: protein N-myristoyltransferase is essential for viability of Cryptococcus neoformans." Proc Natl Acad Sci U S A 91(25): 12008-12012. 10.1073/pnas.91.25.12008.	2015-01-13
PHI:I10	PHI:22	P49606	UAC1	UAC1;REM1;UM05232	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	L33918;AACP01000190	5270:Ustilago maydis		4577:Zea mays	Monocot	GO:0005524:adenylate cyclase activity; GO:0004016: ATP binding; GO:0035556: intracellular signal transduction; GO:0046872: metal ion binding	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Martin Urban,Rothamsted Research		7995519: Gold S, Duncan G, Barrett K, Kronstad J. (1994). "cAMP regulates morphogenesis in the fungal pathogen Ustilago maydis." Genes Dev 8(23): 2805-2816. 10.1101/gad.8.23.2805.	2015-01-13
